train/value_loss,train/learning_rate,train/n_updates,train/policy_loss,eval/mean_ep_length,time/total_timesteps,train/entropy_loss,eval/mean_reward,train/explained_variance,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations
7255.5712890625,0.0007,3,-711.33544921875,80.0,512,-10.308001518249512,-601.4300218000001,9.655952453613281e-06,,,,,
9647.2412109375,0.0007,7,-797.219970703125,80.0,1024,-10.179068565368652,-366.7937256,-1.1920928955078125e-07,,,,,
4157.8134765625,0.0007,11,-489.0235900878906,400.0,1536,-10.219193458557129,-318.95733240000004,-3.5762786865234375e-07,,,,,
8425.005859375,0.0007,15,-784.294189453125,58.0,2048,-10.32196044921875,-743.3087662,-1.0728836059570312e-06,,,,,
6549.5498046875,0.0007,19,-634.5670166015625,400.0,2560,-10.30788803100586,-694.4974788,0.0,,,,,
10494.720703125,0.0007,23,-886.0677490234375,400.0,3072,-10.220877647399902,-181.73305820000002,-1.1920928955078125e-07,,,,,
3078.2880859375,0.0007,27,-450.4844970703125,400.0,3584,-10.223010063171387,-181.5192392,-9.5367431640625e-07,,,,,
9266.0927734375,0.0007,31,-820.6478881835938,40.0,4096,-10.174351692199707,-181.3213926,-1.1920928955078125e-07,,,,,
6708.6904296875,0.0007,35,-647.2874755859375,40.0,4608,-10.138626098632812,-181.5150778,-2.384185791015625e-07,,,,,
8419.8740234375,0.0007,39,-764.7525634765625,200.0,5120,-10.107414245605469,-181.3695552,0.0,,,,,
4407.134765625,0.0007,43,-504.2576904296875,40.0,5632,-10.07994270324707,-181.73896800000003,-1.1920928955078125e-07,,,,,
6916.10009765625,0.0007,47,-672.38134765625,58.0,6144,-10.113397598266602,-183.9169566,-1.1920928955078125e-07,,,,,
6531.0439453125,0.0007,51,-651.2775268554688,58.0,6656,-10.191791534423828,-183.74751200000003,1.1920928955078125e-07,,,,,
6495.384765625,0.0007,55,-582.48486328125,46.0,7168,-10.190462112426758,-184.4582654,-1.1920928955078125e-07,,,,,
6801.90478515625,0.0007,59,-663.0341796875,134.0,7680,-10.080406188964844,-181.75396460000002,0.0,,,,,
6854.05029296875,0.0007,63,-712.0859375,134.0,8192,-10.093873023986816,-181.6766494,-1.1920928955078125e-07,,,,,
5390.478515625,0.0007,67,-576.2293701171875,134.0,8704,-10.061324119567871,-181.7628198,-1.1920928955078125e-07,,,,,
7014.42236328125,0.0007,71,-687.1861572265625,134.0,9216,-10.047908782958984,-181.87652440000002,-1.1920928955078125e-07,,,,,
6619.888671875,0.0007,75,-648.3062744140625,5.6,9728,-9.894811630249023,-10.449306199999999,-1.1920928955078125e-07,,,,,
4461.5810546875,0.0007,79,-500.8157043457031,134.0,10240,-9.825545310974121,-181.9978214,-1.1920928955078125e-07,,,,,
3553.06591796875,0.0007,83,-383.0322570800781,134.0,10752,-9.673246383666992,-181.8742228,0.0,,,,,
1119.313232421875,0.0007,87,-209.5205078125,134.0,11264,-9.382233619689941,-181.4595722,-1.1920928955078125e-07,,,,,
504.9292297363281,0.0007,91,-94.00921630859375,134.0,11776,-9.017127990722656,-146.4159394,-4.76837158203125e-07,,,,,
259.6526794433594,0.0007,95,-38.07480239868164,134.0,12288,-8.406553268432617,-182.0680886,-7.152557373046875e-07,,,,,
124.16259002685547,0.0007,99,-0.7001461982727051,80.0,12800,-8.293014526367188,-181.0051998,-3.5762786865234375e-07,,,,,
,,,,,12800,,,,0,-41.30945277,13.63,45924,100
228.99508666992188,0.0007,103,2.9663710594177246,80.0,13312,-6.470400333404541,-180.85750420000002,-2.384185791015625e-07,,,,,
102.0460205078125,0.0007,107,29.484943389892578,134.0,13824,-5.9852118492126465,-182.27618819999998,-3.5762786865234375e-07,,,,,
98.7489013671875,0.0007,111,30.919776916503906,134.0,14336,-5.277034282684326,-182.0148586,-8.344650268554688e-07,,,,,
101.49569702148438,0.0007,115,17.690399169921875,134.0,14848,-5.192059516906738,-181.98742220000003,-4.76837158203125e-07,,,,,
95.15294647216797,0.0007,119,12.913238525390625,134.0,15360,-5.078547477722168,-181.8051056,-4.76837158203125e-07,,,,,
89.0076904296875,0.0007,123,26.61161994934082,134.0,15872,-4.935481548309326,-181.4871396,-1.430511474609375e-06,,,,,
93.69747161865234,0.0007,127,32.655120849609375,134.0,16384,-4.725613117218018,-181.96329580000003,-9.5367431640625e-07,,,,,
94.541015625,0.0007,131,25.185787200927734,134.0,16896,-4.552802562713623,-181.7977418,-9.5367431640625e-07,,,,,
88.54518127441406,0.0007,135,17.46432113647461,134.0,17408,-4.440216541290283,-182.06173760000001,-1.0728836059570312e-06,,,,,
90.7365951538086,0.0007,139,14.363125801086426,80.0,17920,-4.347647666931152,-181.0475442,-1.1920928955078125e-06,,,,,
78.17623901367188,0.0007,143,22.755420684814453,134.0,18432,-4.102134704589844,-181.9860864,-9.5367431640625e-07,,,,,
70.08521270751953,0.0007,147,18.110450744628906,134.0,18944,-4.017226696014404,-182.1955738,-2.5033950805664062e-06,,,,,
65.14350128173828,0.0007,151,22.472763061523438,134.0,19456,-4.093101501464844,-181.6336854,-1.6689300537109375e-06,,,,,
