eval/mean_reward,train/learning_rate,train/entropy_loss,eval/mean_ep_length,train/policy_loss,train/value_loss,time/total_timesteps,train/n_updates,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean
-584.217737,0.0007,-10.331365585327148,40.0,-666.3027954101562,6187.85107421875,512,3,-9.5367431640625e-07,,,,,
-406.3472636,0.0007,-10.263667106628418,80.0,-875.48095703125,10961.1318359375,1024,7,5.960464477539062e-07,,,,,
-212.71235900000002,0.0007,-10.139799118041992,396.0,-820.608642578125,10001.041015625,1536,11,2.980232238769531e-07,,,,,
-181.5535246,0.0007,-9.98042106628418,400.0,-454.8108825683594,3364.52001953125,2048,15,-1.1920928955078125e-07,,,,,
-477.7639674,0.0007,-9.910585403442383,400.0,-789.1434326171875,10271.1875,2560,19,1.7881393432617188e-07,,,,,
-181.87925879999997,0.0007,-9.733660697937012,400.0,-653.26953125,6535.2666015625,3072,23,-1.1920928955078125e-07,,,,,
-181.4019522,0.0007,-9.648245811462402,400.0,-377.5355224609375,2754.16845703125,3584,27,0.0,,,,,
-181.4153422,0.0007,-9.578743934631348,400.0,-463.19171142578125,4572.5185546875,4096,31,-1.1920928955078125e-07,,,,,
-181.001216,0.0007,-9.430466651916504,400.0,-329.46649169921875,2187.70361328125,4608,35,-1.1920928955078125e-07,,,,,
-180.901291,0.0007,-9.301525115966797,400.0,-230.51968383789062,1246.8193359375,5120,39,-1.1920928955078125e-07,,,,,
-181.2388812,0.0007,-8.931095123291016,80.0,-248.83705139160156,1788.9222412109375,5632,43,1.1920928955078125e-07,,,,,
-181.16746200000003,0.0007,-8.421953201293945,80.0,-108.48135375976562,458.6009521484375,6144,47,-2.384185791015625e-07,,,,,
-180.96610660000002,0.0007,-7.864263534545898,400.0,-76.33772277832031,348.0351867675781,6656,51,-2.384185791015625e-07,,,,,
-180.9549118,0.0007,-6.7257513999938965,80.0,11.432901382446289,70.47924041748047,7168,55,-3.5762786865234375e-07,,,,,
-181.2246058,0.0007,-6.005384922027588,80.0,17.59016990661621,76.64714813232422,7680,59,-3.5762786865234375e-07,,,,,
-181.0383182,0.0007,-4.981919765472412,80.0,-2.366717576980591,91.29899597167969,8192,63,-1.1920928955078125e-07,,,,,
-181.02966339999998,0.0007,-4.068159103393555,80.0,3.0372982025146484,99.27678680419922,8704,67,-2.384185791015625e-07,,,,,
-180.91088059999998,0.0007,-3.873743772506714,80.0,15.11302661895752,72.28327941894531,9216,71,-1.1920928955078125e-07,,,,,
-180.44117740000002,0.0007,-3.7511754035949707,80.0,4.653103828430176,112.42356872558594,9728,75,0.0,,,,,
-180.96078100000003,0.0007,-4.019952774047852,80.0,12.042766571044922,64.8488998413086,10240,79,-2.384185791015625e-07,,,,,
-180.80813419999998,0.0007,-4.094237327575684,80.0,6.6857123374938965,80.28269958496094,10752,83,1.7881393432617188e-07,,,,,
-181.24328380000003,0.0007,-4.089601039886475,80.0,8.327901840209961,69.10694885253906,11264,87,2.384185791015625e-07,,,,,
-180.83235259999998,0.0007,-3.9447646141052246,80.0,1.4683982133865356,107.49536895751953,11776,91,4.76837158203125e-07,,,,,
-180.7237828,0.0007,-3.9856491088867188,80.0,5.528720855712891,65.154296875,12288,95,1.0132789611816406e-06,,,,,
-180.60217219999998,0.0007,-3.7796692848205566,80.0,5.460496425628662,45.000343322753906,12800,99,2.7418136596679688e-06,,,,,
,,,,,,12800,,,42907,-12.504156190000002,0,100,6.16
-180.51688080000002,0.0007,-3.7559938430786133,80.0,7.313826560974121,36.15300750732422,13312,103,1.0192394256591797e-05,,,,,
-181.0340878,0.0007,-3.81121826171875,80.0,-5.439661979675293,82.11385345458984,13824,107,3.319978713989258e-05,,,,,
-181.2896706,0.0007,-3.808166742324829,80.0,6.990096092224121,36.31684112548828,14336,111,-2.384185791015625e-07,,,,,
-181.2483676,0.0007,-3.646418809890747,80.0,3.0747392177581787,31.67238426208496,14848,115,0.0,,,,,
-181.00575659999998,0.0007,-3.717134952545166,80.0,-3.8737034797668457,69.22576904296875,15360,119,8.940696716308594e-07,,,,,
-181.6570704,0.0007,-3.6941044330596924,100.0,1.4783498048782349,37.62897872924805,15872,123,1.6093254089355469e-06,,,,,
-180.96522020000003,0.0007,-3.511580467224121,80.0,0.5844789147377014,45.45500183105469,16384,127,1.1265277862548828e-05,,,,,
-180.4237206,0.0007,-3.5840275287628174,80.0,3.9671881198883057,23.22074317932129,16896,131,7.152557373046875e-07,,,,,
-181.2927536,0.0007,-3.5401856899261475,100.0,2.8109312057495117,29.898496627807617,17408,135,1.055002212524414e-05,,,,,
-181.2372114,0.0007,-3.66068172454834,100.0,-2.2458112239837646,33.94838333129883,17920,139,0.0007051825523376465,,,,,
-180.56342460000002,0.0007,-3.7029099464416504,200.0,-4.926510810852051,38.72996520996094,18432,143,0.03441667556762695,,,,,
-181.28792980000003,0.0007,-3.7137107849121094,200.0,-5.797187805175781,36.989009857177734,18944,147,0.060993492603302,,,,,
-180.1155702,0.0007,-3.7332916259765625,200.0,-7.1471171379089355,28.296981811523438,19456,151,0.1221650242805481,,,,,
-181.06403459999999,0.0007,-3.719512462615967,200.0,-0.5474858283996582,26.893482208251953,19968,155,0.14744919538497925,,,,,
-179.80722459999998,0.0007,-3.6586453914642334,200.0,-7.537470817565918,68.61546325683594,20480,159,0.09286618232727051,,,,,
-181.3749254,0.0007,-3.6291284561157227,200.0,2.598079204559326,16.111038208007812,20992,163,0.20952767133712769,,,,,
-181.16410660000003,0.0007,-3.544320583343506,200.0,3.8688204288482666,14.52608585357666,21504,167,0.2401672601699829,,,,,
-181.224685,0.0007,-3.5348620414733887,200.0,-2.5085105895996094,25.381620407104492,22016,171,0.21343481540679932,,,,,
-181.7968252,0.0007,-3.5213377475738525,200.0,3.2604525089263916,14.7535982131958,22528,175,0.2380514144897461,,,,,
-180.76465919999998,0.0007,-3.648679733276367,200.0,-8.049249649047852,82.51296997070312,23040,179,0.11888307332992554,,,,,
-180.46660880000002,0.0007,-3.5883336067199707,200.0,2.1728439331054688,11.16505241394043,23552,183,0.32823771238327026,,,,,
-180.9385058,0.0007,-3.6483728885650635,200.0,-1.8552581071853638,18.472061157226562,24064,187,0.1990962028503418,,,,,
-180.4944474,0.0007,-3.5896377563476562,200.0,-1.085831880569458,15.132810592651367,24576,191,0.2984815835952759,,,,,
-181.2407126,0.0007,-3.566554546356201,200.0,-5.935662746429443,18.99051284790039,25088,195,0.23608756065368652,,,,,
-180.9208834,0.0007,-3.6229043006896973,200.0,-6.73898458480835,16.772178649902344,25600,199,0.3039025068283081,,,,,
,,,,,,25600,,,79314,-9.791348160000002,0,200,8.26
-181.0767316,0.0007,-3.7026185989379883,200.0,-5.004733085632324,23.097869873046875,26112,203,0.3055102825164795,,,,,
-180.9911024,0.0007,-3.6803972721099854,400.0,-0.5978662371635437,8.570467948913574,26624,207,0.4215390682220459,,,,,
-181.1736194,0.0007,-3.6244397163391113,400.0,0.9595833420753479,17.755483627319336,27136,211,0.331911563873291,,,,,
-181.1306036,0.0007,-3.727055549621582,400.0,-4.096707344055176,13.345134735107422,27648,215,0.3479686975479126,,,,,
-180.95208440000002,0.0007,-4.149312973022461,400.0,1.2870171070098877,12.418356895446777,28160,219,0.4072721004486084,,,,,
-180.9795672,0.0007,-3.745849609375,400.0,-6.0767598152160645,19.190773010253906,28672,223,0.32014042139053345,,,,,
-181.34757340000002,0.0007,-3.7402148246765137,400.0,-2.9967188835144043,13.404548645019531,29184,227,0.38422417640686035,,,,,
-180.64622,0.0007,-3.6794939041137695,400.0,-1.1777058839797974,8.066075325012207,29696,231,0.4739829897880554,,,,,
-181.0979776,0.0007,-3.6444015502929688,400.0,-7.539643287658691,20.576080322265625,30208,235,0.28876185417175293,,,,,
-181.0045016,0.0007,-3.5066299438476562,400.0,-6.366893768310547,15.419878959655762,30720,239,0.3363666534423828,,,,,
-180.75824160000002,0.0007,-3.468764066696167,400.0,-5.060725212097168,14.875208854675293,31232,243,0.33024829626083374,,,,,
-25.272410599999997,0.0007,-3.7730071544647217,323.4,-4.096080780029297,14.11296558380127,31744,247,0.38698863983154297,,,,,
-87.9915022,0.0007,-4.093287467956543,400.0,-3.3743255138397217,8.16025161743164,32256,251,0.5223389267921448,,,,,
-113.0203066,0.0007,-4.370508193969727,400.0,-10.007551193237305,17.409271240234375,32768,255,0.41700035333633423,,,,,
-181.26266479999998,0.0007,-3.7030043601989746,400.0,-3.862926483154297,8.554168701171875,33280,259,0.3658619523048401,,,,,
