time/total_timesteps,train/entropy_loss,train/learning_rate,eval/mean_ep_length,train/n_updates,train/value_loss,eval/mean_reward,train/explained_variance,train/policy_loss,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean
512,-10.324446678161621,0.0007,89.8,3,6035.150390625,-373.71896080000005,-0.0014444589614868164,-645.2562866210938,,,,,
1024,-10.328203201293945,0.0007,360.0,7,11629.69921875,-365.29804279999996,-0.0004343986511230469,-925.4677734375,,,,,
1536,-10.306344985961914,0.0007,122.0,11,9224.9052734375,-263.0015542,8.58306884765625e-06,-837.164794921875,,,,,
2048,-10.286262512207031,0.0007,308.0,15,7997.90478515625,-204.81578839999997,-0.00041854381561279297,-786.17529296875,,,,,
2560,-10.278975486755371,0.0007,58.8,19,9468.798828125,-268.7394902,-8.106231689453125e-05,-812.9703369140625,,,,,
3072,-10.188260078430176,0.0007,80.0,23,9405.1015625,-195.2290196,-1.895427703857422e-05,-826.5732421875,,,,,
3584,-10.224298477172852,0.0007,59.6,27,8200.009765625,-195.2665102,-2.5391578674316406e-05,-774.6963500976562,,,,,
4096,-10.198746681213379,0.0007,65.4,31,10232.7109375,-208.1996174,1.6689300537109375e-06,-892.9660034179688,,,,,
4608,-10.15280532836914,0.0007,62.6,35,6297.91796875,-199.5778878,-4.589557647705078e-05,-658.640625,,,,,
5120,-10.070014953613281,0.0007,80.0,39,10031.8291015625,-214.052619,-1.8477439880371094e-05,-845.4417724609375,,,,,
5632,-9.904293060302734,0.0007,80.0,43,10893.6875,-200.64119580000002,-6.794929504394531e-06,-869.4080810546875,,,,,
6144,-9.962599754333496,0.0007,80.0,47,7750.68896484375,-196.80583579999998,-5.91278076171875e-05,-733.6849365234375,,,,,
6656,-9.884305000305176,0.0007,80.0,51,7123.04052734375,-198.0579668,-8.702278137207031e-06,-667.5457763671875,,,,,
7168,-9.97583293914795,0.0007,80.0,55,6346.03857421875,-190.6579768,-4.482269287109375e-05,-650.8790283203125,,,,,
7680,-10.070606231689453,0.0007,80.0,59,7639.9072265625,-195.93453399999999,-3.0875205993652344e-05,-711.6927490234375,,,,,
8192,-10.087164878845215,0.0007,105.2,63,5429.04052734375,-290.4653098,-2.384185791015625e-06,-586.1771240234375,,,,,
