time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,eval/mean_reward
128,0,-44.764137,10.0,250,1,,,,,,,,,,,,
256,0,-119.47662425,28.25,563,2,1134.3663330078125,0.021875,10,2247.03056640625,-0.04219092335551977,0.0003,0.2,-10.3550235748291,0.008049642,0.0010712146759033203,,
384,0,-157.138627125,31.75,840,3,1969.142822265625,0.02109375,20,3860.7717407226564,-0.036492806300520896,0.0003,0.2,-10.346200513839722,0.008392196,0.00034755468368530273,,
512,,,,,,1440.44189453125,0.08046875,30,2871.2489990234376,-0.04801461072638631,0.0003,0.2,-10.331204080581665,0.015541028,0.0001583099365234375,400.0,-524.1622342000001
512,0,-178.63000163636363,33.81818181818182,2008,4,,,,,,,,,,,,
640,0,-205.59629021428572,38.714285714285715,2315,5,1415.3541259765625,0.0484375,40,3242.1272705078127,-0.044561004638671874,0.0003,0.2,-10.311705350875854,0.011606341,4.2557716369628906e-05,,
768,0,-224.65531539999998,41.2,2598,6,2001.0872802734375,0.0515625,50,3723.51650390625,-0.04313598843291402,0.0003,0.2,-10.302230501174927,0.011721015,1.6868114471435547e-05,,
896,0,-237.46453264705883,43.8235294117647,2885,7,1447.2386474609375,0.08828125,60,2679.0488037109376,-0.05134706338867545,0.0003,0.2,-10.294991540908814,0.016693998,-8.344650268554688e-07,,
1024,,,,,,1270.6053466796875,0.0421875,70,2738.4242919921876,-0.039884541742503644,0.0003,0.2,-10.284996032714844,0.010609191,2.5033950805664062e-06,400.0,-228.64241520000002
1024,0,-247.5683714444445,45.833333333333336,4104,8,,,,,,,,,,,,
1152,0,-255.0336570000001,48.523809523809526,4367,9,1270.9320068359375,0.06796875,80,2440.195263671875,-0.04747892990708351,0.0003,0.2,-10.271226739883422,0.013532168,-1.9073486328125e-06,,
1280,0,-266.5042486956522,51.43478260869565,4628,10,1242.380126953125,0.07109375,90,2484.543994140625,-0.04708582824096084,0.0003,0.2,-10.256821489334106,0.014833184,3.5762786865234375e-07,,
1408,0,-266.5042486956522,51.43478260869565,4889,11,1080.2091064453125,0.065625,100,2393.8561767578126,-0.04034148808568716,0.0003,0.2,-10.229850625991821,0.012986187,-4.76837158203125e-07,,
1536,,,,,,1570.484130859375,0.046875,110,3058.1131225585937,-0.04209734778851271,0.0003,0.2,-10.205389738082886,0.011367106,-5.960464477539062e-07,267.6,-195.29986079999998
1536,0,-279.8748968846154,55.69230769230769,5760,12,,,,,,,,,,,,
1664,0,-269.9392246206897,54.48275862068966,6009,13,425.2873229980469,0.1453125,120,941.2692565917969,-0.0565529340878129,0.0003,0.2,-10.185941314697265,0.020740632,-3.814697265625e-06,,
1792,0,-262.6511471,53.3,6224,14,932.7207641601562,0.121875,130,1688.8482666015625,-0.055683412589132786,0.0003,0.2,-10.124691247940063,0.020698614,-1.1920928955078125e-06,,
1920,0,-257.75176,52.58064516129032,6424,15,795.2322998046875,0.1140625,140,1631.739678955078,-0.0508303108625114,0.0003,0.2,-10.069220304489136,0.019009069,1.1920928955078125e-07,,
2048,,,,,,520.7348022460938,0.10703125,150,1078.79521484375,-0.05353622818365693,0.0003,0.2,-10.01884217262268,0.018207384,-1.3113021850585938e-06,400.0,-265.9016838
2048,0,-260.5148955588235,54.5,7608,16,,,,,,,,,,,,
2176,0,-263.7493854285715,56.2,7821,17,387.6847839355469,0.14296875,160,992.6041442871094,-0.05772672612220049,0.0003,0.2,-9.965453577041625,0.022787655,-1.9073486328125e-06,,
2304,0,-265.8967855555556,57.19444444444444,8011,18,567.485107421875,0.12265625,170,1312.509832763672,-0.055431390181183815,0.0003,0.2,-9.914308786392212,0.021160368,-1.1920928955078125e-07,,
2432,0,-268.5063468378379,58.37837837837838,8207,19,615.4652709960938,0.115625,180,1229.9238159179688,-0.05719345053657889,0.0003,0.2,-9.874027109146118,0.02140893,-1.0728836059570312e-06,,
2560,,,,,,633.0643310546875,0.18125,190,1247.9131286621093,-0.059085772605612874,0.0003,0.2,-9.82490062713623,0.023790125,-2.384185791015625e-07,400.0,-219.30305600000003
2560,0,-273.06211756410266,61.205128205128204,9362,20,,,,,,,,,,,,
2688,0,-275.12848737499996,62.65,9557,21,502.19476318359375,0.18671875,200,1098.6851470947265,-0.06377246379852294,0.0003,0.2,-9.805489015579223,0.023647476,-8.344650268554688e-07,,
2816,0,-275.12848737499996,62.65,9734,22,573.9170532226562,0.2078125,210,1136.1522216796875,-0.05718647590838373,0.0003,0.2,-9.674935340881348,0.025282776,4.76837158203125e-07,,
2944,0,-279.592030547619,65.33333333333333,9905,23,501.0381164550781,0.1609375,220,1090.0048919677733,-0.06268769567832351,0.0003,0.2,-9.575933742523194,0.028455827,-9.5367431640625e-07,,
3072,,,,,,451.5889587402344,0.12109375,230,914.0990509033203,-0.06076762331649661,0.0003,0.2,-9.487816667556762,0.019765291,-1.1920928955078125e-06,400.0,-275.47887059999994
3072,0,-281.8981322325581,66.83720930232558,10972,24,,,,,,,,,,,,
3200,0,-282.8955564444444,68.71111111111111,11118,25,349.7806396484375,0.1640625,240,713.2503662109375,-0.06354457214474678,0.0003,0.2,-9.415680932998658,0.024783056,1.7881393432617188e-07,,
3328,0,-282.8955564444444,68.71111111111111,11246,26,294.2595520019531,0.196875,250,607.5350219726563,-0.066804264113307,0.0003,0.2,-9.500264167785645,0.027780753,-5.960464477539062e-07,,
3456,0,-282.8955564444444,68.71111111111111,11378,27,307.1114807128906,0.27265625,260,626.4030700683594,-0.06663874695077539,0.0003,0.2,-9.381348752975464,0.026598461,-8.344650268554688e-07,,
3584,,,,,,407.4437255859375,0.1796875,270,757.0021514892578,-0.058365910407155754,0.0003,0.2,-9.309993410110474,0.029556155,1.7881393432617188e-07,400.0,-228.03013700000002
3584,0,-284.04823515217396,70.43478260869566,12363,28,,,,,,,,,,,,
3712,0,-284.04823515217396,70.43478260869566,12498,29,239.2139129638672,0.259375,280,510.7522216796875,-0.07169738402590156,0.0003,0.2,-9.164540004730224,0.029997705,-1.1920928955078125e-07,,
3840,0,-288.25110181632647,75.6734693877551,12633,30,282.15924072265625,0.19609375,290,587.2550384521485,-0.06812416492030024,0.0003,0.2,-9.103391408920288,0.030343045,-4.76837158203125e-07,,
3968,0,-288.25110181632647,75.6734693877551,12758,31,205.2905731201172,0.23046875,300,403.9163360595703,-0.07424693144857883,0.0003,0.2,-9.01640477180481,0.03685855,0.0,,
