time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
128,-136.92408,1,0,26.0,276,,,,,,,,,,,,
256,-175.8491205,2,0,34.5,559,10,0.0003,-0.04767567552626133,5.125999450683594e-06,0.2,1663.68505859375,3187.96123046875,0.021875,-10.354990482330322,0.008867571,,
384,-294.29981475,3,0,54.5,837,20,0.0003,-0.023205435601994395,-0.002068161964416504,0.2,1909.7886962890625,3889.453967285156,0.0015625,-10.34898419380188,0.0036973082,,
512,,,,,,30,0.0003,-0.03481337470002473,0.0005331635475158691,0.2,1428.1956787109375,2917.642724609375,0.015625,-10.342951774597168,0.007758813,-416.4596191999999,121.6
512,-307.212833,4,0,54.714285714285715,1930,,,,,,,,,,,,
640,-305.8119319,5,0,54.6,2224,40,0.0003,-0.030414759833365678,0.0007709860801696777,0.2,1330.2537841796875,2859.712744140625,0.0140625,-10.32779402732849,0.006951052,,
768,-296.10140845454544,6,0,53.72727272727273,2516,50,0.0003,-0.03329584896564484,2.86102294921875e-05,0.2,1345.213134765625,2514.1172119140624,0.0234375,-10.315252828598023,0.007945792,,
896,-315.15993157142856,7,0,57.0,2803,60,0.0003,-0.02842633379623294,1.7344951629638672e-05,0.2,1724.7347412109375,3399.8413208007814,0.0109375,-10.299611616134644,0.005515907,,
1024,,,,,,70,0.0003,-0.03221247121691704,-0.000110626220703125,0.2,1776.087890625,3377.3821411132812,0.01953125,-10.290729665756226,0.0074320477,-181.6432358,398.8
1024,-269.24816121052635,8,0,48.78947368421053,3987,,,,,,,,,,,,
1152,-275.07725130000006,9,0,49.95,4273,80,0.0003,-0.044706043973565104,-9.810924530029297e-05,0.2,1072.235107421875,2219.12744140625,0.06484375,-10.283837509155273,0.012914877,,
1280,-281.9278231739131,10,0,51.47826086956522,4551,90,0.0003,-0.0323138602077961,5.84721565246582e-05,0.2,1617.41552734375,3436.647595214844,0.021875,-10.266733407974243,0.007954602,,
1408,-264.10545633333334,11,0,48.74074074074074,4825,100,0.0003,-0.038567443005740644,-5.5789947509765625e-05,0.2,1112.4620361328125,2252.266467285156,0.040625,-10.263735580444337,0.009470954,,
1536,,,,,,110,0.0003,-0.0401648580096662,-0.0001035928726196289,0.2,1130.5439453125,2205.772540283203,0.05078125,-10.245281314849853,0.012242012,-182.9254642,51.0
1536,-264.10545633333334,12,0,48.74074074074074,5908,,,,,,,,,,,,
1664,-279.1355567419355,13,0,51.54838709677419,6199,120,0.0003,-0.030330148153007032,-3.933906555175781e-05,0.2,2160.49853515625,4264.501049804688,0.02109375,-10.209690284729003,0.0068544243,,
1792,-274.8082161875,14,0,50.84375,6472,130,0.0003,-0.03891495792195201,-3.7670135498046875e-05,0.2,937.7335205078125,1970.2932922363282,0.040625,-10.198673629760743,0.01066253,,
1920,-280.98496848571426,15,0,52.371428571428574,6724,140,0.0003,-0.03448044341057539,-4.3511390686035156e-05,0.2,1753.65625,3355.798474121094,0.03125,-10.175247955322266,0.008970996,,
2048,,,,,,150,0.0003,-0.04626098545268178,-8.7738037109375e-05,0.2,858.185546875,1695.82451171875,0.0796875,-10.166352462768554,0.016152445,-181.7957004,50.0
2048,-267.33893505128214,16,0,50.53846153846154,7777,,,,,,,,,,,,
2176,-265.029852,17,0,50.3,8019,160,0.0003,-0.05131597639992833,-2.205371856689453e-05,0.2,725.7891235351562,1287.5495849609374,0.115625,-10.162112474441528,0.02226431,,
2304,-266.1541761428572,18,0,51.19047619047619,8288,170,0.0003,-0.04237428605556488,-0.00010144710540771484,0.2,889.1788330078125,1929.865655517578,0.05078125,-10.144663667678833,0.011806034,,
2432,-268.6274650444444,19,0,52.13333333333333,8567,180,0.0003,-0.04797146087512374,4.172325134277344e-07,0.2,1035.0174560546875,1911.9783569335937,0.0859375,-10.119671869277955,0.016308233,,
2560,,,,,,190,0.0003,-0.0364353071898222,-1.6927719116210938e-05,0.2,1296.4984130859375,2497.2333862304686,0.01875,-10.092516803741455,0.0074795657,-181.46348840000002,50.0
2560,-267.9916315531915,20,0,52.04255319148936,9613,,,,,,,,,,,,
2688,-269.72225847916667,21,0,52.520833333333336,9878,200,0.0003,-0.04741558041423559,-9.572505950927734e-05,0.2,794.958251953125,1753.7393920898437,0.0765625,-10.104176807403565,0.0155391805,,
2816,-264.5559948076923,22,0,52.11538461538461,10147,210,0.0003,-0.035948671074584125,1.33514404296875e-05,0.2,1070.422607421875,2110.92109375,0.0421875,-10.097094964981078,0.011125189,,
2944,-261.86495388888886,23,0,51.907407407407405,10402,220,0.0003,-0.04903513258323074,-5.125999450683594e-05,0.2,613.1104125976562,1415.9073425292968,0.09140625,-10.081672430038452,0.016544666,,
3072,,,,,,230,0.0003,-0.041409459337592124,2.562999725341797e-06,0.2,1180.52294921875,2315.5272216796875,0.0765625,-10.063713026046752,0.014584112,-181.59236339999998,100.0
3072,-260.31624608771926,24,0,51.87719298245614,11454,,,,,,,,,,,,
3200,-260.31624608771926,25,0,51.87719298245614,11664,240,0.0003,-0.0527452839538455,-5.066394805908203e-05,0.2,682.9539794921875,1593.3744995117188,0.08984375,-10.035843706130981,0.016621936,,
3328,-265.1502908333333,26,0,53.833333333333336,11900,250,0.0003,-0.04510047985240817,1.9073486328125e-06,0.2,897.3602905273438,1649.921368408203,0.09296875,-10.004453945159913,0.017385844,,
3456,-259.0183188095238,27,0,52.96825396825397,12142,260,0.0003,-0.05082471901550889,1.2814998626708984e-05,0.2,867.8555908203125,1620.602520751953,0.13203125,-9.933301401138305,0.020373326,,
3584,,,,,,270,0.0003,-0.059381572622805835,-1.5616416931152344e-05,0.2,662.9014892578125,1242.9718811035157,0.1640625,-9.841553974151612,0.024175636,-180.7929798,100.0
3584,-259.0183188095238,28,0,52.96825396825397,13189,,,,,,,,,,,,
3712,-256.5310112352941,29,0,53.69117647058823,13418,280,0.0003,-0.049643213581293824,-3.8504600524902344e-05,0.2,838.157958984375,1509.3486450195312,0.1078125,-9.824965286254884,0.018163256,,
3840,-251.13969738028166,30,0,52.859154929577464,13673,290,0.0003,-0.06363206170499325,-5.066394805908203e-05,0.2,423.7493896484375,801.7110656738281,0.1859375,-9.790406417846679,0.028117104,,
3968,-248.21343412499996,31,0,52.27777777777778,13906,300,0.0003,-0.051228079665452245,-3.2782554626464844e-05,0.2,738.2294311523438,1512.5454345703124,0.11875,-9.762926864624024,0.021596707,,
4096,,,,,,310,0.0003,-0.047597581427544354,-2.658367156982422e-05,0.2,723.3040161132812,1543.032049560547,0.09921875,-9.720948076248169,0.019299641,-181.55669840000002,200.8
4096,-246.49323922368416,32,0,52.5,14995,,,,,,,,,,,,
4224,-245.31523461038958,33,0,52.44155844155844,15218,320,0.0003,-0.06112241288647056,-3.612041473388672e-05,0.2,555.1665649414062,974.2060394287109,0.190625,-9.72465124130249,0.029215619,,
4352,-240.3853061851852,34,0,52.160493827160494,15447,330,0.0003,-0.05466645616106689,-3.4809112548828125e-05,0.2,540.9780883789062,1063.1041564941406,0.12109375,-9.695838403701782,0.020341624,,
4480,-241.45184002439024,35,0,52.53658536585366,15657,340,0.0003,-0.06189592704176903,-3.3736228942871094e-05,0.2,552.0256958007812,1139.687094116211,0.15703125,-9.683315134048462,0.02417035,,
4608,,,,,,350,0.0003,-0.046530427783727644,1.2814998626708984e-05,0.2,564.81640625,1208.1883361816406,0.08046875,-9.611250257492065,0.017411906,-181.17348379999999,200.0
4608,-241.92934785714283,36,0,53.07142857142857,16716,,,,,,,,,,,,
4736,-242.80862861176468,37,0,53.705882352941174,16918,360,0.0003,-0.07087160618975759,-6.198883056640625e-06,0.2,403.3751525878906,872.5532287597656,0.20625,-9.505012130737304,0.030662345,,
4864,-243.65931974418604,38,0,54.44186046511628,17094,370,0.0003,-0.05586535045877099,-8.225440979003906e-06,0.2,510.5058898925781,1063.7021240234376,0.15,-9.448516798019408,0.023737516,,
4992,-243.46451476404494,39,0,55.53932584269663,17286,380,0.0003,-0.050616410467773675,-1.2040138244628906e-05,0.2,307.1751403808594,717.165170288086,0.1328125,-9.392884445190429,0.020619608,,
5120,,,,,,390,0.0003,-0.06534681860357523,-1.8596649169921875e-05,0.2,330.49365234375,651.1970123291015,0.19921875,-9.302650022506715,0.033352755,-180.6935464,200.0
5120,-241.18824043333333,40,0,55.13333333333333,18299,,,,,,,,,,,,
5248,-238.94270069892474,41,0,55.24731182795699,18479,400,0.0003,-0.05596775934100151,-6.556510925292969e-06,0.2,317.57122802734375,671.5571960449219,0.15078125,-9.267015552520752,0.023217581,,
5376,-238.94270069892474,42,0,55.24731182795699,18653,410,0.0003,-0.06968916142359376,-4.851818084716797e-05,0.2,183.3076934814453,430.9381134033203,0.21875,-9.245351648330688,0.0285801,,
5504,-237.01621668421052,43,0,55.410526315789475,18824,420,0.0003,-0.058468308113515374,5.4836273193359375e-06,0.2,378.2910461425781,768.3733520507812,0.13984375,-9.18477725982666,0.023438051,,
5632,,,,,,430,0.0003,-0.06806224724277854,4.172325134277344e-06,0.2,231.20240783691406,516.3925750732421,0.25390625,-9.102634954452515,0.035523556,-181.4531864,200.6
5632,-234.8199396020408,44,0,55.88775510204081,19843,,,,,,,,,,,,
5760,-235.1810173030303,45,0,56.57575757575758,20015,440,0.0003,-0.06829498084262013,-3.647804260253906e-05,0.2,183.124267578125,386.891455078125,0.28203125,-9.064682674407958,0.039483726,,
5888,-234.01223311,46,0,57.3,20193,450,0.0003,-0.06902796663343906,-8.344650268554688e-07,0.2,218.28672790527344,545.5321960449219,0.29609375,-8.84062328338623,0.041062634,,
6016,-223.92874407999997,47,0,56.35,20348,460,0.0003,-0.06934659099206328,-2.872943878173828e-05,0.2,240.56150817871094,527.8289855957031,0.28046875,-8.729623365402222,0.04320096,,
6144,,,,,,470,0.0003,-0.0880371879786253,-4.2319297790527344e-05,0.2,124.10061645507812,251.94585113525392,0.390625,-8.526034116744995,0.05492582,-181.18260719999998,200.4
6144,-212.73344864999999,48,0,55.4,21361,,,,,,,,,,,,
6272,-198.75160556000003,49,0,53.24,21524,480,0.0003,-0.07959645455703139,-3.0875205993652344e-05,0.2,148.14865112304688,296.42183380126954,0.3484375,-8.470892429351807,0.05896618,,
6400,-194.95277851999998,50,0,52.64,21696,490,0.0003,-0.07607537107542157,-9.5367431640625e-06,0.2,172.41567993164062,366.0995162963867,0.30625,-8.498773050308227,0.049180537,,
6528,-191.44176565,51,0,53.57,21861,500,0.0003,-0.04447964355349541,2.6226043701171875e-06,0.2,331.1896057128906,661.7810882568359,0.21953125,-8.569182443618775,0.033421863,,
6656,,,,,,510,0.0003,-0.09345231596380472,-2.9921531677246094e-05,0.2,118.09602355957031,240.06619720458986,0.45390625,-8.366666841506959,0.07546739,-181.69264,200.8
6656,-184.63389455000004,52,0,52.92,22857,,,,,,,,,,,,
6784,-185.28932576,53,0,53.97,23015,520,0.0003,-0.05015807477757335,-1.5020370483398438e-05,0.2,186.55166625976562,371.4814193725586,0.1515625,-8.334623622894288,0.02486046,,
6912,-170.70406211999997,54,0,52.0,23161,530,0.0003,-0.07466500061564148,-2.1338462829589844e-05,0.2,142.31277465820312,268.3749519348145,0.3875,-8.123600292205811,0.06287904,,
7040,-161.41306482,55,0,50.59,23308,540,0.0003,-0.08909415807574987,-2.1696090698242188e-05,0.2,119.51404571533203,248.29842071533204,0.51015625,-7.709775614738464,0.107814535,,
