Logging to ./logs_PPO_0.01_baseline
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 14       |
|    ep_rew_mean     | -80.9    |
| time/              |          |
|    fps             | 0        |
|    iterations      | 1        |
|    time_elapsed    | 412      |
|    total_timesteps | 64       |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 14          |
|    ep_rew_mean          | -80.9       |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 2           |
|    time_elapsed         | 865         |
|    total_timesteps      | 128         |
| train/                  |             |
|    approx_kl            | 0.012337673 |
|    clip_fraction        | 0.0266      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.4       |
|    explained_variance   | 0.00398     |
|    learning_rate        | 0.0003      |
|    loss                 | 629         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0491     |
|    value_loss           | 1.3e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29          |
|    ep_rew_mean          | -133        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 3           |
|    time_elapsed         | 1320        |
|    total_timesteps      | 192         |
| train/                  |             |
|    approx_kl            | 0.013255373 |
|    clip_fraction        | 0.0688      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 607         |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0509     |
|    value_loss           | 1.23e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 29          |
|    ep_rew_mean          | -133        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 4           |
|    time_elapsed         | 1745        |
|    total_timesteps      | 256         |
| train/                  |             |
|    approx_kl            | 0.009837223 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 601         |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0479     |
|    value_loss           | 1.21e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 39.8        |
|    ep_rew_mean          | -197        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 5           |
|    time_elapsed         | 2196        |
|    total_timesteps      | 320         |
| train/                  |             |
|    approx_kl            | 0.008149838 |
|    clip_fraction        | 0.0375      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 674         |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0398     |
|    value_loss           | 1.36e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48          |
|    ep_rew_mean          | -244        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 6           |
|    time_elapsed         | 2661        |
|    total_timesteps      | 384         |
| train/                  |             |
|    approx_kl            | 0.007254501 |
|    clip_fraction        | 0.0172      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0003      |
|    loss                 | 624         |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.038      |
|    value_loss           | 1.26e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 41.4        |
|    ep_rew_mean          | -207        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 7           |
|    time_elapsed         | 3065        |
|    total_timesteps      | 448         |
| train/                  |             |
|    approx_kl            | 0.009552674 |
|    clip_fraction        | 0.0312      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 5.96e-08    |
|    learning_rate        | 0.0003      |
|    loss                 | 898         |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0377     |
|    value_loss           | 1.81e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 200         |
|    mean_reward          | -183        |
| time/                   |             |
|    total_timesteps      | 512         |
| train/                  |             |
|    approx_kl            | 0.006872235 |
|    clip_fraction        | 0.0141      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 476         |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0378     |
|    value_loss           | 960         |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 48.9     |
|    ep_rew_mean     | -252     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 8        |
|    time_elapsed    | 6271     |
|    total_timesteps | 512      |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 47.3        |
|    ep_rew_mean          | -241        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 9           |
|    time_elapsed         | 6672        |
|    total_timesteps      | 576         |
| train/                  |             |
|    approx_kl            | 0.013299373 |
|    clip_fraction        | 0.0578      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 696         |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.0528     |
|    value_loss           | 1.4e+03     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 47.3         |
|    ep_rew_mean          | -241         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 10           |
|    time_elapsed         | 7050         |
|    total_timesteps      | 640          |
| train/                  |              |
|    approx_kl            | 0.0121987695 |
|    clip_fraction        | 0.0625       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.2        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 369          |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.0447      |
|    value_loss           | 743          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.9        |
|    ep_rew_mean          | -248        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 11          |
|    time_elapsed         | 7451        |
|    total_timesteps      | 704         |
| train/                  |             |
|    approx_kl            | 0.014821068 |
|    clip_fraction        | 0.0641      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.2       |
|    explained_variance   | 0           |
|    learning_rate        | 0.0003      |
|    loss                 | 342         |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0496     |
|    value_loss           | 689         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 48.9        |
