time/iterations,train/adaptive_beta,time/total_timesteps,time/fps,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,rollout/ep_rew_mean,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,0.5,64,0,477,,,,,,,,,,,,,,
2,0.5,128,0,952,0.0008271336555480957,0.008775144,0.0171875,723.9107666015625,17.0,-0.040817347913980485,10,0.0003,-10.355391216278075,0.2,-80.138998,1504.6678588867187,,
3,0.5,192,0,1476,-1.1920928955078125e-07,0.0089736935,0.021875,1056.9141845703125,19.5,-0.040296001359820366,20,0.0003,-10.346981048583984,0.2,-98.01493049999999,2142.7298583984375,,
4,0.5,256,0,1873,5.960464477539063e-08,0.009701499,0.0171875,856.8851318359375,28.25,-0.04346215948462486,30,0.0003,-10.338719081878661,0.2,-157.036147,1738.7186401367187,,
5,0.5,320,0,2361,1.1920928955078125e-07,0.008791318,0.0265625,524.3536376953125,44.166666666666664,-0.03721475563943386,40,0.0003,-10.33558464050293,0.2,-252.61037716666667,1069.4129638671875,,
6,0.5,384,0,2833,0.0,0.0068506813,0.0109375,758.6131591796875,44.166666666666664,-0.03564730733633041,50,0.0003,-10.328399181365967,0.2,-252.61037716666667,1539.2163818359375,,
7,0.5,448,0,3338,-1.1920928955078125e-07,0.008605803,0.034375,890.9860229492188,44.166666666666664,-0.04021642245352268,60,0.0003,-10.325566482543945,0.2,-252.61037716666667,1803.6217895507812,,
,0.5,512,,,1.1920928955078125e-07,0.004366393,0.003125,960.7277221679688,,-0.025739349797368048,70,0.0003,-10.322179794311523,0.2,,1942.889208984375,-246.32264259999997,134.0
8,0.5,512,0,6535,,,,,48.75,,,,,,-273.03467262500004,,,
9,0.5,576,0,6996,-1.1920928955078125e-07,0.008587489,0.0140625,611.67822265625,45.0,-0.039387839846313,80,0.0003,-10.320841979980468,0.2,-249.55330181818184,1240.9162963867188,,
10,0.5,640,0,7429,-1.1920928955078125e-07,0.009217796,0.0296875,633.792724609375,44.92307692307692,-0.03693355275318026,90,0.0003,-10.321279811859132,0.2,-252.03389892307695,1284.3755493164062,,
11,0.5,704,0,7908,1.1920928955078125e-07,0.008917995,0.0140625,466.64752197265625,44.142857142857146,-0.04362080693244934,100,0.0003,-10.317298889160156,0.2,-245.39562478571432,949.63134765625,,
12,0.5,768,0,8311,0.0,0.005298556,0.0046875,1076.5880126953125,41.53333333333333,-0.030165875144302846,110,0.0003,-10.308085918426514,0.2,-230.3428642666667,2171.8470947265623,,
13,0.5,832,0,8688,0.0,0.008067757,0.0234375,510.7551574707031,39.9375,-0.041080678999423983,120,0.0003,-10.300148677825927,0.2,-219.4606534375,1038.0905883789062,,
14,0.5,896,0,9175,-1.1920928955078125e-07,0.008645452,0.0234375,529.3212890625,42.05882352941177,-0.038243461214005944,130,0.0003,-10.286701583862305,0.2,-232.62599123529412,1074.8246459960938,,
15,0.5,960,0,9605,5.960464477539063e-08,0.005753789,0.0125,916.5422973632812,44.05,-0.030622915737330912,140,0.0003,-10.277848720550537,0.2,-240.57972440000003,1851.1616577148438,,
,0.5,1024,,,1.1920928955078125e-07,0.012458517,0.040625,344.27783203125,,-0.0473692798987031,150,0.0003,-10.287588024139405,0.2,,703.3002136230468,-183.93985600000002,134.0
16,0.5,1024,0,12792,,,,,44.714285714285715,,,,,,-242.04656409523812,,,
17,0.5,1088,0,13262,0.0,0.0065491106,0.0109375,667.0061645507812,44.714285714285715,-0.02994768600910902,160,0.0003,-10.27362127304077,0.2,-242.04656409523812,1350.603857421875,,
18,0.5,1152,0,13687,1.1920928955078125e-07,0.005327685,0.00625,728.674072265625,44.30434782608695,-0.029652186669409275,170,0.0003,-10.266766262054443,0.2,-238.61185573913048,1474.4362182617188,,
19,0.5,1216,0,14115,0.0,0.009876929,0.03125,570.8595581054688,44.30434782608695,-0.041542465426027776,180,0.0003,-10.267069435119629,0.2,-238.61185573913048,1157.7235961914062,,
