time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/explained_variance,train/learning_rate,train/loss,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/clip_range,rollout/ep_len_mean,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
0,0.5,64,1,213,,,,,,,,,,,,,,
0,0.5,128,2,457,0.010635896,-0.004124999046325684,0.0003,775.8829345703125,-143.610671,10,0.0296875,-10.355219173431397,0.2,26.0,-0.046551639959216115,1615.3155517578125,,
0,0.5,192,3,701,0.008071997,1.1920928955078125e-07,0.0003,590.3515625,-180.7876405,20,0.034375,-10.346070766448975,0.2,34.5,-0.037408746965229514,1204.9660766601562,,
0,0.5,256,4,926,0.0050864285,-1.1801719665527344e-05,0.0003,950.5899658203125,-180.7876405,30,0.0,-10.341511631011963,0.2,34.5,-0.03323491364717483,1927.2452880859375,,
0,0.5,320,5,1141,0.008983359,1.1920928955078125e-07,0.0003,838.3934326171875,-305.390167,40,0.015625,-10.340632438659668,0.2,54.75,-0.041087936609983444,1701.1057006835938,,
0,0.5,384,6,1371,0.011187809,0.0,0.0003,617.2395629882812,-305.390167,50,0.0453125,-10.329868698120118,0.2,54.75,-0.04579700008034706,1254.7327514648437,,
0,0.5,448,7,1577,0.011906585,0.0,0.0003,853.7342529296875,-339.747523,60,0.0453125,-10.31340913772583,0.2,59.6,-0.0448794873431325,1729.2115234375,,
,0.5,512,,,0.006005113,0.0,0.0003,652.3558349609375,,70,0.00625,-10.31030340194702,0.2,,-0.03554530590772629,1324.2188842773437,-301.48589119999997,400.0
0,0.5,512,8,3185,,,,,-350.33915700000006,,,,,62.0,,,,
0,0.5,576,9,3415,0.0052386504,0.0,0.0003,601.0889892578125,-316.09979400000003,80,0.0046875,-10.314859199523926,0.2,56.57142857142857,-0.03371162544935942,1220.5354248046874,,
0,0.5,640,10,3633,0.0065767253,0.0,0.0003,769.7819213867188,-344.1553826666667,90,0.0203125,-10.30421838760376,0.2,61.888888888888886,-0.029897109419107438,1558.742822265625,,
0,0.5,704,11,3883,0.007836675,0.0,0.0003,637.3707275390625,-336.1728072,100,0.0171875,-10.311850547790527,0.2,60.2,-0.035616005584597585,1292.3181762695312,,
0,0.5,768,12,4094,0.005511866,-1.1920928955078125e-07,0.0003,774.1083374023438,-336.1728072,110,0.00625,-10.325424289703369,0.2,60.2,-0.028678661026060582,1565.9717651367187,,
0,0.5,832,13,4316,0.005333661,1.1920928955078125e-07,0.0003,670.0992431640625,-337.3013326666667,120,0.0046875,-10.326600551605225,0.2,61.333333333333336,-0.03126310221850872,1357.6337890625,,
0,0.5,896,14,4556,0.007867852,0.0,0.0003,492.4826965332031,-337.5947785384616,130,0.03125,-10.309221172332764,0.2,61.69230769230769,-0.03907906711101532,1000.913037109375,,
0,0.5,960,15,4769,0.00809428,1.7881393432617188e-07,0.0003,655.6488647460938,-337.5947785384616,140,0.015625,-10.313119506835937,0.2,61.69230769230769,-0.03915082551538944,1327.968017578125,,
,0.5,1024,,,0.00801949,0.0,0.0003,601.612060546875,,150,0.01875,-10.316446685791016,0.2,,-0.040471092239022254,1219.9685424804688,-201.13194439999998,225.0
0,0.5,1024,16,6348,,,,,-332.72930400000007,,,,,61.53333333333333,,,,
0,0.5,1088,17,6587,0.008089967,0.0,0.0003,637.338134765625,-332.72930400000007,160,0.0390625,-10.31077299118042,0.2,61.53333333333333,-0.038257335498929027,1290.9525390625,,
0,0.5,1152,18,6814,0.007164524,0.0,0.0003,974.3662719726562,-327.13378611764705,170,0.0234375,-10.317242240905761,0.2,60.94117647058823,-0.03295005280524492,1966.75888671875,,
0,0.5,1216,19,7033,0.010630003,0.0,0.0003,639.6234741210938,-327.13378611764705,180,0.040625,-10.310486984252929,0.2,60.94117647058823,-0.04672721847891807,1294.9569458007813,,
0,0.5,1280,20,7250,0.010085392,5.960464477539063e-08,0.0003,830.9891967773438,-326.83669135,190,0.0390625,-10.302796459197998,0.2,60.7,-0.04134396202862263,1679.3392456054687,,
0,0.5,1344,21,7456,0.010096806,-1.1920928955078125e-07,0.0003,464.334228515625,-316.19662147619044,200,0.0359375,-10.30799913406372,0.2,58.904761904761905,-0.040121449157595634,943.9468383789062,,
0,0.5,1408,22,7693,0.007385389,1.1920928955078125e-07,0.0003,543.12451171875,-316.19662147619044,210,0.0265625,-10.325336742401124,0.2,58.904761904761905,-0.03293025176972151,1102.1228393554688,,
0,0.5,1472,23,7918,0.0067154644,5.960464477539063e-08,0.0003,802.883056640625,-310.7365506666667,220,0.015625,-10.328334617614747,0.2,58.291666666666664,-0.03460707999765873,1622.9257202148438,,
,0.5,1536,,,0.009478209,0.0,0.0003,438.65234375,,230,0.03125,-10.321774673461913,0.2,,-0.048150969482958314,892.1190307617187,-189.2450774,85.0
0,0.5,1536,24,9487,,,,,-310.7365506666667,,,,,58.291666666666664,,,,
0,0.5,1600,25,9742,0.007672862,0.0,0.0003,909.31640625,-306.6432772307693,240,0.01875,-10.31836757659912,0.2,57.53846153846154,-0.0338922468945384,1836.2344970703125,,
0,0.5,1664,26,9972,0.006509306,-1.1920928955078125e-07,0.0003,886.6488037109375,-306.6432772307693,250,0.009375,-10.311774730682373,0.2,57.53846153846154,-0.034630799666047096,1790.2511962890626,,
0,0.5,1728,27,10183,0.006797686,0.0,0.0003,844.4500732421875,-310.36254170370376,260,0.0171875,-10.299616050720214,0.2,58.03703703703704,-0.03248071875423193,1706.064404296875,,
0,0.5,1792,28,10423,0.007089996,0.0,0.0003,702.0152587890625,-315.59574725000004,270,0.0109375,-10.297680282592774,0.2,58.714285714285715,-0.03329393919557333,1420.4266967773438,,
0,0.5,1856,29,10609,0.00429454,5.960464477539063e-08,0.0003,811.0112915039062,-321.5204310000001,280,0.0015625,-10.301552867889404,0.2,59.63333333333333,-0.019643528666347266,1638.70947265625,,
0,0.5,1920,30,10813,0.012377592,5.960464477539063e-08,0.0003,260.6303405761719,-316.71294367741945,290,0.05625,-10.299789237976075,0.2,59.16129032258065,-0.05329670496284962,535.1542724609375,,
0,0.5,1984,31,11027,0.0060749603,0.0,0.0003,566.416748046875,-316.71294367741945,300,0.0109375,-10.299253559112548,0.2,59.16129032258065,-0.030950696766376497,1148.4536254882812,,
,0.5,2048,,,0.006286706,5.960464477539063e-08,0.0003,543.9827270507812,,310,0.0140625,-10.299102973937988,0.2,,-0.03170579038560391,1103.7498046875,-142.3524724,400.0
0,0.5,2048,32,12640,,,,,-312.11155609090906,,,,,58.78787878787879,,,,
0,0.5,2112,33,12815,0.010467678,0.0,0.0003,411.59783935546875,-312.06887261764706,320,0.046875,-10.289320182800292,0.2,58.911764705882355,-0.04495716290548444,837.3800537109375,,
0,0.5,2176,34,13042,0.013605603,-1.1920928955078125e-07,0.0003,283.642578125,-312.06887261764706,330,0.0578125,-10.283426666259766,0.2,58.911764705882355,-0.04837776757776737,581.3565612792969,,
0,0.5,2240,35,13267,0.007287178,0.0,0.0003,651.7381591796875,-310.1682066666666,340,0.0328125,-10.288836002349854,0.2,59.44444444444444,-0.029431367106735707,1319.6234985351562,,
0,0.5,2304,36,13475,0.0061719622,1.1920928955078125e-07,0.0003,929.7744750976562,-310.1682066666666,350,0.00625,-10.287939739227294,0.2,59.44444444444444,-0.031701046600937845,1876.2488403320312,,
0,0.5,2368,37,13700,0.0053993342,0.0,0.0003,652.7701416015625,-310.1682066666666,360,0.0109375,-10.281139469146728,0.2,59.44444444444444,-0.027173386327922343,1321.5476928710937,,
0,0.5,2432,38,13923,0.006019177,0.0,0.0003,824.0093383789062,-314.4283234102564,370,0.009375,-10.271789646148681,0.2,60.43589743589744,-0.035760024283081296,1664.8627563476562,,
0,0.5,2496,39,14115,0.00920436,0.0,0.0003,651.4296875,-314.4283234102564,380,0.03125,-10.266657066345214,0.2,60.43589743589744,-0.03942267596721649,1318.0555908203125,,
,0.5,2560,,,0.010441892,5.960464477539063e-08,0.0003,340.09259033203125,,390,0.034375,-10.26184434890747,0.2,,-0.041854247078299524,694.6965270996094,-190.058235,134.0
0,0.5,2560,40,15661,,,,,-311.87896002439027,,,,,59.97560975609756,,,,
0,0.5,2624,41,15875,0.016535189,-1.1920928955078125e-07,0.0003,380.62249755859375,-307.5444961627907,400,0.075,-10.268208599090576,0.2,59.55813953488372,-0.04659882467240095,775.349658203125,,
0,0.5,2688,42,16091,0.012852682,0.0,0.0003,408.0921325683594,-302.9949155,410,0.05,-10.271794509887695,0.2,58.59090909090909,-0.042293162643909456,830.5719360351562,,
0,0.5,2752,43,16302,0.008028042,0.0,0.0003,591.0924682617188,-298.87131391111114,420,0.03125,-10.276766872406006,0.2,57.77777777777778,-0.024060482904314996,1197.6976806640625,,
0,0.5,2816,44,16510,0.0055226153,0.0,0.0003,676.8109741210938,-298.48485508333334,430,0.0046875,-10.294797039031982,0.2,58.208333333333336,-0.03134080953896046,1369.4680786132812,,
0,0.5,2880,45,16729,0.012459242,0.0,0.0003,177.99066162109375,-298.48485508333334,440,0.05,-10.290107250213623,0.2,58.208333333333336,-0.042713592760264874,368.8549774169922,,
0,0.5,2944,46,16948,0.0057424027,0.0,0.0003,981.035888671875,-294.87067336734697,450,0.0,-10.295985984802247,0.2,57.87755102040816,-0.022278533317148685,1979.1719116210938,,
0,0.5,3008,47,17174,0.003862814,-1.1920928955078125e-07,0.0003,627.613525390625,-294.87067336734697,460,0.0046875,-10.300594997406005,0.2,57.87755102040816,-0.025360511243343355,1270.7802368164062,,
,0.5,3072,,,0.0044794055,-1.1920928955078125e-07,0.0003,812.7257690429688,,470,0.0046875,-10.306675052642822,0.2,,-0.02366474587470293,1642.3514282226563,-592.2585672,400.0
0,0.5,3072,48,18788,,,,,-295.30805862,,,,,58.0,,,,
