time/fps,train/adaptive_beta,time/total_timesteps,time/iterations,time/time_elapsed,train/n_updates,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0,0.5,64,1,212,,,,,,,,,,,,,,
0,0.5,128,2,455,10,0.01102238,0.03125,-10.355143833160401,0.0010474920272827148,0.0003,0.2,720.2759399414062,-0.04728120863437653,1501.9361694335937,,,,
0,0.5,192,3,691,20,0.011014426,0.0375,-10.345141124725341,5.960464477539063e-08,0.0003,0.2,841.9471435546875,-0.044775670021772386,1711.459912109375,-209.200994,43.0,,
0,0.5,256,4,910,30,0.0061647817,0.009375,-10.335012340545655,1.1920928955078125e-07,0.0003,0.2,924.6802368164062,-0.03469157535582781,1875.1154663085938,-209.200994,43.0,,
0,0.5,320,5,1110,40,0.010642698,0.025,-10.331290149688721,0.0,0.0003,0.2,864.6405029296875,-0.04378129728138447,1753.7606811523438,-379.829341,66.5,,
0,0.5,384,6,1337,50,0.008867616,0.015625,-10.321472358703613,0.0,0.0003,0.2,466.3550109863281,-0.03948504291474819,952.0220397949219,-379.829341,66.5,,
0,0.5,448,7,1543,60,0.013551865,0.0546875,-10.306944656372071,0.0,0.0003,0.2,843.5499877929688,-0.04643695428967476,1708.7016967773438,-379.829341,66.5,,
,0.5,512,,,70,0.0044447416,0.003125,-10.294559669494628,5.960464477539063e-08,0.0003,0.2,1098.1820068359375,-0.02730553224682808,2218.639990234375,,,-583.417209,400.0
0,0.5,512,8,3134,,,,,,,,,,,-373.96987199999995,65.0,,
0,0.5,576,9,3361,80,0.009376637,0.0296875,-10.295304870605468,0.0,0.0003,0.2,561.9336547851562,-0.03822335861623287,1142.0763671875,-330.4263844285714,57.57142857142857,,
0,0.5,640,10,3587,90,0.004933227,0.0109375,-10.298861217498779,-2.384185791015625e-07,0.0003,0.2,830.7990112304688,-0.02465115236118436,1681.12841796875,-354.9419814444444,62.44444444444444,,
0,0.5,704,11,3834,100,0.008407491,0.01875,-10.306184101104737,0.0,0.0003,0.2,687.81298828125,-0.03615954546257853,1393.4587158203126,-345.82480169999997,60.7,,
0,0.5,768,12,4037,110,0.00632181,0.009375,-10.304901218414306,0.0,0.0003,0.2,656.5113525390625,-0.02755941413342953,1330.0921752929687,-345.82480169999997,60.7,,
0,0.5,832,13,4262,120,0.006602858,0.015625,-10.304932117462158,5.960464477539063e-08,0.0003,0.2,764.8396606445312,-0.027795000188052654,1547.4886596679687,-348.38172608333326,62.083333333333336,,
0,0.5,896,14,4505,130,0.0064852173,0.009375,-10.305254077911377,1.1920928955078125e-07,0.0003,0.2,514.9462280273438,-0.03408721573650837,1046.0915283203126,-348.38172608333326,62.083333333333336,,
0,0.5,960,15,4715,140,0.006554597,0.00625,-10.303738689422607,-1.1920928955078125e-07,0.0003,0.2,1037.75341796875,-0.030355234816670417,2094.1514404296877,-355.31126130769223,63.53846153846154,,
,0.5,1024,,,150,0.006089177,0.0078125,-10.30094871520996,-2.384185791015625e-07,0.0003,0.2,675.6585693359375,-0.03170226477086544,1368.3219970703126,,,-182.7749698,400.0
0,0.5,1024,16,6293,,,,,,,,,,,-358.3267871428571,64.21428571428571,,
0,0.5,1088,17,6525,160,0.008023219,0.0171875,-10.306532764434815,0.0,0.0003,0.2,796.5243530273438,-0.032142444513738155,1610.285693359375,-358.3267871428571,64.21428571428571,,
0,0.5,1152,18,6749,170,0.008212196,0.0203125,-10.303638553619384,1.1920928955078125e-07,0.0003,0.2,1186.42919921875,-0.034752686694264415,2391.7470947265624,-367.04093693749996,65.625,,
0,0.5,1216,19,6969,180,0.009372487,0.028125,-10.291494941711425,0.0,0.0003,0.2,515.97119140625,-0.04194840360432863,1047.6315307617188,-367.04093693749996,65.625,,
0,0.5,1280,20,7173,190,0.008749169,0.0234375,-10.279751300811768,1.7881393432617188e-07,0.0003,0.2,874.7579345703125,-0.038018307834863665,1766.9996948242188,-352.684039117647,63.35294117647059,,
0,0.5,1344,21,7376,200,0.009928791,0.03125,-10.277595329284669,0.0,0.0003,0.2,499.1640930175781,-0.038822191394865514,1013.8176513671875,-341.1439093809524,61.523809523809526,,
0,0.5,1408,22,7605,210,0.017070584,0.0765625,-10.288296890258788,-2.384185791015625e-07,0.0003,0.2,322.7373352050781,-0.054867209307849406,659.6442810058594,-341.1439093809524,61.523809523809526,,
0,0.5,1472,23,7844,220,0.007351868,0.0234375,-10.292600440979005,0.0,0.0003,0.2,796.1334228515625,-0.029897383600473403,1609.3224731445312,-333.4389908636363,60.81818181818182,,
