time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,eval/mean_ep_length,eval/mean_reward
275,128,0,-136.92408,26.0,1,,,,,,,,,,,,
555,256,0,-175.8491205,34.5,2,0.008821715,1662.6602783203125,-10.35499882698059,3187.96123046875,5.125999450683594e-06,-0.04763784948736429,10,0.0003,0.021875,0.2,,
832,384,0,-294.29981475,54.5,3,0.0036324868,1908.7645263671875,-10.349165868759155,3889.454382324219,-0.0020682811737060547,-0.023279668763279915,20,0.0003,0.0015625,0.2,,
,512,,,,,0.0075220796,1427.1727294921875,-10.343655109405518,2917.6427001953125,0.0005331039428710938,-0.03442839756608009,30,0.0003,0.01328125,0.2,127.4,-480.232893
1920,512,0,-307.212833,54.714285714285715,4,,,,,,,,,,,,
2214,640,0,-305.26991949999996,54.6,5,0.007004801,1319.6435546875,-10.329706954956055,2800.2910888671877,0.0007981657981872559,-0.03133031707257032,40,0.0003,0.0125,0.2,,
2503,768,0,-294.5601781818181,53.72727272727273,6,0.008191638,1355.06787109375,-10.318900680541992,2349.2218627929688,-4.9948692321777344e-05,-0.03464093580842018,50,0.0003,0.02890625,0.2,,
2787,896,0,-314.3611152857142,57.0,7,0.0048426124,1622.5150146484375,-10.306076622009277,3444.2654296875,-4.8995018005371094e-05,-0.028355787228792905,60,0.0003,0.0046875,0.2,,
,1024,,,,,0.0070908866,1855.982177734375,-10.301819944381714,3340.0638427734375,-8.976459503173828e-05,-0.03226864235475659,70,0.0003,0.0171875,0.2,400.0,-181.9170408
3951,1024,0,-286.1859587777778,51.94444444444444,8,,,,,,,,,,,,
4234,1152,0,-291.58555631578946,53.0,9,0.010553302,1285.084228515625,-10.298792600631714,2491.942333984375,-9.72747802734375e-05,-0.039286999870091675,80,0.0003,0.0390625,0.2,,
4507,1280,0,-280.2875246363637,51.04545454545455,10,0.0055396226,1984.6961669921875,-10.286919212341308,3932.194470214844,2.1755695343017578e-05,-0.027569970395416022,90,0.0003,0.01015625,0.2,,
4768,1408,0,-291.14231512500004,52.833333333333336,11,0.008972266,1119.7803955078125,-10.292057704925536,2455.7220947265623,-7.641315460205078e-05,-0.0380679352208972,100,0.0003,0.03984375,0.2,,
,1536,,,,,0.009038521,1491.2489013671875,-10.284714126586914,2900.7648071289063,7.271766662597656e-06,-0.03504383023828268,110,0.0003,0.02109375,0.2,92.6,-183.27457839999997
5861,1536,0,-293.55252748000004,53.72,12,,,,,,,,,,,,
6142,1664,0,-306.07356446428577,56.107142857142854,13,0.0074594915,1427.2738037109375,-10.266667652130128,3401.0887817382813,-0.00012350082397460938,-0.033520277589559555,120,0.0003,0.01875,0.2,,
6420,1792,0,-305.47416324137936,56.13793103448276,14,0.008253088,1285.5455322265625,-10.264709520339967,2629.0948852539063,-1.239776611328125e-05,-0.03647243734449148,130,0.0003,0.021875,0.2,,
6680,1920,0,-311.8985371875,57.65625,15,0.0044087013,1962.422607421875,-10.25209183692932,3849.899072265625,-5.3882598876953125e-05,-0.026037689531221986,140,0.0003,0.00703125,0.2,,
,2048,,,,,0.013208441,922.21142578125,-10.248091077804565,2046.105047607422,-6.031990051269531e-05,-0.04463347867131233,150,0.0003,0.06640625,0.2,264.8,-323.12853299999995
7811,2048,0,-302.0012956470588,56.088235294117645,16,,,,,,,,,,,,
8058,2176,0,-304.3323570277778,57.0,17,0.013998429,1113.8988037109375,-10.233669519424438,2285.0299438476563,-5.984306335449219e-05,-0.04534557899460197,160,0.0003,0.06484375,0.2,,
8327,2304,0,-288.93531740000003,54.775,18,0.0075696805,997.5967407226562,-10.220025777816772,2034.4726013183595,-6.580352783203125e-05,-0.03853477435186505,170,0.0003,0.02109375,0.2,,
8605,2432,0,-291.9121676585366,55.19512195121951,19,0.016411727,1109.4473876953125,-10.218666458129883,2078.174005126953,-9.417533874511719e-06,-0.050471870228648186,180,0.0003,0.08359375,0.2,,
,2560,,,,,0.0060265022,1671.365234375,-10.214147663116455,3278.062536621094,-1.4543533325195312e-05,-0.030032109562307598,190,0.0003,0.01640625,0.2,400.0,-299.28288460000005
9750,2560,0,-292.3904661590909,55.70454545454545,20,,,,,,,,,,,,
10030,2688,0,-293.93183258695655,56.30434782608695,21,0.01079143,710.994873046875,-10.230093288421632,1572.340087890625,-4.3272972106933594e-05,-0.039721541991457346,200,0.0003,0.040625,0.2,,
10306,2816,0,-285.5084024489796,54.87755102040816,22,0.0114086885,1112.4732666015625,-10.22721552848816,2437.8190063476563,6.854534149169922e-06,-0.03863920075818896,210,0.0003,0.04765625,0.2,,
10569,2944,0,-282.39771892156864,54.588235294117645,23,0.013280617,1136.5596923828125,-10.211139822006226,2242.996545410156,-3.135204315185547e-05,-0.04659899901598692,220,0.0003,0.0625,0.2,,
,3072,,,,,0.012367007,1352.1767578125,-10.179933500289916,2434.8672424316405,-1.2755393981933594e-05,-0.038881676737219095,230,0.0003,0.04921875,0.2,400.0,-181.5417726
11739,3072,0,-283.45055862264155,54.698113207547166,24,,,,,,,,,,,,
11974,3200,0,-281.684131,54.785714285714285,25,0.009078626,1429.124267578125,-10.156324434280396,2785.5627197265626,-2.002716064453125e-05,-0.039198773261159656,240,0.0003,0.03203125,0.2,,
12228,3328,0,-278.1527419166667,54.53333333333333,26,0.013743302,719.5186157226562,-10.138219213485717,1517.0760314941406,-1.2516975402832031e-05,-0.04275471963919699,250,0.0003,0.05625,0.2,,
12500,3456,0,-273.3199124516129,53.95161290322581,27,0.025726307,738.9874267578125,-10.113082933425904,1479.03671875,-2.5033950805664062e-05,-0.06201937794685364,260,0.0003,0.1609375,0.2,,
,3584,,,,,0.012303245,1016.58447265625,-10.129090547561646,2181.3146118164063,-3.600120544433594e-05,-0.04375311098992825,270,0.0003,0.0546875,0.2,58.8,-183.7109114
13560,3584,0,-273.3199124516129,53.95161290322581,28,,,,,,,,,,,,
13810,3712,0,-277.64209140909094,55.21212121212121,29,0.007845849,1459.4794921875,-10.134447193145752,2775.383093261719,-1.9431114196777344e-05,-0.033793300343677404,280,0.0003,0.02421875,0.2,,
14087,3840,0,-272.5245754927536,54.27536231884058,30,0.023501901,608.80859375,-10.11343879699707,1241.1393737792969,-7.152557373046875e-06,-0.05894122449681163,290,0.0003,0.13125,0.2,,
14338,3968,0,-272.5245754927536,54.27536231884058,31,0.019434148,1167.0093994140625,-10.076996231079102,2579.595849609375,-3.063678741455078e-05,-0.04928311640396714,300,0.0003,0.07734375,0.2,,
,4096,,,,,0.018177103,1204.493408203125,-10.049302625656129,2310.1131958007813,-1.537799835205078e-05,-0.04868540987372398,310,0.0003,0.1,0.2,400.0,-180.86495440000002
15485,4096,0,-275.9263383194444,55.19444444444444,32,,,,,,,,,,,,
15733,4224,0,-273.5620551333333,55.013333333333335,33,0.019838048,723.2521362304688,-10.074288320541381,1514.32138671875,-2.7418136596679688e-05,-0.04948239829391241,320,0.0003,0.115625,0.2,,
15997,4352,0,-267.2908032179487,53.93589743589744,34,0.015576005,687.8670043945312,-10.116547870635987,1250.9428955078124,-2.181529998779297e-05,-0.045858368696644905,330,0.0003,0.08359375,0.2,,
16265,4480,0,-261.7149712317073,53.0609756097561,35,0.010183981,950.5730590820312,-10.115899229049683,1887.1648742675782,-2.586841583251953e-05,-0.038711493276059626,340,0.0003,0.03828125,0.2,,
,4608,,,,,0.017711207,852.8364868164062,-10.091737270355225,1861.506982421875,-2.2292137145996094e-05,-0.05096080489456654,350,0.0003,0.09140625,0.2,400.0,-181.11013720000003
17407,4608,0,-262.10758138095235,53.26190476190476,36,,,,,,,,,,,,
17646,4736,0,-263.30119292941174,53.576470588235296,37,0.013292324,609.5810546875,-10.087273025512696,1348.161199951172,-6.9141387939453125e-06,-0.04051208533346653,360,0.0003,0.065625,0.2,,
17881,4864,0,-263.0266216292135,54.2247191011236,38,0.015943063,1147.878662109375,-10.082583236694337,2070.4521667480467,4.5299530029296875e-06,-0.042220099922269584,370,0.0003,0.0765625,0.2,,
18153,4992,0,-254.417576655914,52.75268817204301,39,0.025410045,420.7311706542969,-10.08659086227417,855.8760772705078,-3.0279159545898438e-05,-0.06842600647360086,380,0.0003,0.1796875,0.2,,
,5120,,,,,0.022205094,632.3849487304688,-10.119578170776368,1295.0870300292968,-2.4437904357910156e-05,-0.058449079282581806,390,0.0003,0.12421875,0.2,400.0,-181.19445779999998
19288,5120,0,-249.2337494479166,51.697916666666664,40,,,,,,,,,,,,
19516,5248,0,-250.45006827272718,52.2020202020202,41,0.016459065,794.281494140625,-10.120438480377198,1691.9763488769531,-1.7642974853515625e-05,-0.05023174714297056,400,0.0003,0.07734375,0.2,,
19758,5376,0,-250.45006827272718,52.2020202020202,42,0.017660059,607.3936157226562,-10.108330821990966,1140.8853149414062,-1.8596649169921875e-05,-0.05313010858371854,410,0.0003,0.09375,0.2,,
19993,5504,0,-244.83383538999996,51.65,43,0.007823938,1384.1494140625,-10.086233806610107,2796.0826782226563,2.7418136596679688e-06,-0.03491312237456441,420,0.0003,0.028125,0.2,,
