time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,64,14.0,-80.931749,0,425,,,,,,,,,,,,
2,128,14.0,-80.931749,0,890,0.0016412138938903809,0.012552523,0.0359375,627.545166015625,-0.049119981937110424,10,0.0003,-10.354959869384766,0.2,1296.2395385742188,,
3,192,14.0,-80.931749,0,1373,2.384185791015625e-07,0.014237673,0.0703125,720.7591552734375,-0.05183186791837215,20,0.0003,-10.342641735076905,0.2,1459.1286865234374,,
4,256,35.333333333333336,-172.41766700000002,0,1769,0.0,0.0065382356,0.00625,692.1764526367188,-0.03284749910235405,30,0.0003,-10.32564582824707,0.2,1399.5523681640625,,
5,320,45.5,-225.57673125000002,0,2167,0.0,0.011088308,0.046875,485.9396667480469,-0.049723210744559765,40,0.0003,-10.31291742324829,0.2,983.0759704589843,,
6,384,53.0,-262.80863220000003,0,2605,0.0,0.008641969,0.034375,541.3024291992188,-0.03516102079302073,50,0.0003,-10.300519561767578,0.2,1093.7272094726563,,
7,448,47.666666666666664,-234.4880201666667,0,2989,0.0,0.0047762934,0.003125,1056.9268798828125,-0.02961264718323946,60,0.0003,-10.27993564605713,0.2,2127.7888671875,,
,512,,,,,1.1920928955078125e-07,0.0077922577,0.0171875,523.6319580078125,-0.03825399521738291,70,0.0003,-10.270306396484376,0.2,1056.9500244140625,-183.63072720000002,134.0
8,512,47.666666666666664,-234.4880201666667,0,6155,,,,,,,,,,,,
9,576,54.333333333333336,-265.7745653333334,0,6551,0.0,0.00980701,0.0328125,579.60107421875,-0.04359602201730013,80,0.0003,-10.262164306640624,0.2,1168.9504150390626,,
10,640,54.333333333333336,-265.7745653333334,0,6964,-1.1920928955078125e-07,0.013457211,0.0609375,358.830322265625,-0.05360590592026711,90,0.0003,-10.23098373413086,0.2,725.2011535644531,,
11,704,57.7,-283.08462310000004,0,7320,-1.1920928955078125e-07,0.009044629,0.0234375,721.016357421875,-0.034691289998590946,100,0.0003,-10.195424556732178,0.2,1451.815625,,
12,768,57.7,-283.08462310000004,0,7696,0.0,0.017904818,0.09375,405.51214599609375,-0.055812977626919745,110,0.0003,-10.15788402557373,0.2,818.6698852539063,,
13,832,56.0,-268.0608108333334,0,8058,0.0,0.008132456,0.0265625,623.1353149414062,-0.03603706546127796,120,0.0003,-10.130534648895264,0.2,1255.1608520507812,,
