time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
1,1,100,128,,,,,,,,,,,,,,
2,1,203,256,2380.83203125,0.00796869,0.2,0.02265625,-10.355265140533447,0.0003,10,5029.140698242188,0.0002034902572631836,-0.04484300520271063,,,,
3,1,303,384,2777.509521484375,0.0042609847,0.2,0.0015625,-10.350289583206177,0.0003,20,5226.158178710937,-0.0023840665817260742,-0.028302327916026115,-464.447815,74.0,,
,,,512,1075.623046875,0.0073856898,0.2,0.01953125,-10.344009923934937,0.0003,30,2310.696453857422,-0.0012557506561279297,-0.03710058587603271,,,45.0,-215.12249860000003
4,0,680,512,,,,,,,,,,,-464.447815,74.0,,
5,0,785,640,2062.632568359375,0.0033541783,0.2,0.0,-10.340787982940673,0.0003,40,4099.501208496094,0.00041091442108154297,-0.026188842207193374,-438.42543475,72.875,,
6,0,887,768,1560.2794189453125,0.004042223,0.2,0.003125,-10.336513471603393,0.0003,50,3157.287463378906,-0.00040733814239501953,-0.029013315122574566,-438.42543475,72.875,,
7,0,986,896,1973.9595947265625,0.004018227,0.2,0.0015625,-10.332993936538696,0.0003,60,4154.17470703125,-8.356571197509766e-05,-0.026447839662432672,-436.9011156,71.9,,
,,,1024,2031.3695068359375,0.0059083775,0.2,0.01171875,-10.328223323822021,0.0003,70,3998.094274902344,-0.0002523660659790039,-0.03213141495361924,,,384.6,-199.4133854
8,0,1479,1024,,,,,,,,,,,-439.79016725,73.33333333333333,,
9,0,1584,1152,1440.70166015625,0.0051352885,0.2,0.00703125,-10.330004405975341,0.0003,80,3219.3573486328123,-0.0005811452865600586,-0.028366182837635277,-439.7479571538462,73.53846153846153,,
10,0,1686,1280,2349.344970703125,0.00505901,0.2,0.0046875,-10.330112600326538,0.0003,90,4879.095251464843,0.0001175999641418457,-0.028608953952789305,-444.006485625,73.8125,,
11,0,1783,1408,1808.9998779296875,0.008704187,0.2,0.02578125,-10.330042219161987,0.0003,100,3476.0611938476563,-0.00010752677917480469,-0.039234088640660046,-446.25104076470586,73.70588235294117,,
,,,1536,1468.0760498046875,0.0059935153,0.2,0.01484375,-10.326226377487183,0.0003,110,2885.417443847656,8.124113082885742e-05,-0.03256569048389792,,,200.0,-340.6878373999999
12,0,2216,1536,,,,,,,,,,,-439.04535863157895,74.05263157894737,,
13,0,2324,1664,2340.975341796875,0.004764518,0.2,0.01015625,-10.323715448379517,0.0003,120,3964.3462524414062,4.5299530029296875e-06,-0.02808240782469511,-438.9287806666666,73.80952380952381,,
14,0,2420,1792,2435.63720703125,0.0033136508,0.2,0.00390625,-10.327839660644532,0.0003,130,4798.1818359375,-1.1563301086425781e-05,-0.02298633735626936,-439.92793168181817,73.72727272727273,,
15,0,2511,1920,2289.080322265625,0.0031784293,0.2,0.00234375,-10.327728891372681,0.0003,140,4253.995385742188,1.6927719116210938e-05,-0.024950009305030107,-439.3151491666667,74.04166666666667,,
,,,2048,1573.667236328125,0.007822977,0.2,0.01875,-10.326238679885865,0.0003,150,3111.964807128906,-0.00023472309112548828,-0.038667785190045836,,,152.2,-274.77729719999996
16,0,2920,2048,,,,,,,,,,,-441.61631124,74.08,,
17,0,3010,2176,1182.365234375,0.0038409843,0.2,0.003125,-10.324186992645263,0.0003,160,2775.4222778320313,-4.458427429199219e-05,-0.025903453398495913,-439.09921499999996,74.74074074074075,,
18,0,3109,2304,1233.8553466796875,0.0072401646,0.2,0.01484375,-10.319781398773193,0.0003,170,2307.422009277344,-1.1920928955078125e-05,-0.03743185321800411,-438.68885396551724,75.0,,
19,0,3211,2432,1248.194580078125,0.0072804787,0.2,0.02421875,-10.312893867492676,0.0003,180,2981.667724609375,1.3828277587890625e-05,-0.03432994922623038,-438.23618469999997,75.0,,
,,,2560,2055.227294921875,0.0060517755,0.2,0.00703125,-10.314362859725952,0.0003,190,3938.311669921875,-9.5367431640625e-07,-0.0295923818834126,,,136.2,-239.443822
20,0,3613,2560,,,,,,,,,,,-436.00101584375,75.375,,
21,0,3712,2688,1430.882080078125,0.0072481893,0.2,0.01640625,-10.322423124313355,0.0003,200,2640.5677490234375,-1.811981201171875e-05,-0.032796349562704566,-435.07616406060606,75.39393939393939,,
