time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/value_loss,train/kl_divergence_loss,train/learning_rate,train/n_updates,train/is_line_search_success,train/policy_objective,train/explained_variance,eval/mean_ep_length,eval/mean_reward
128,0,-172.420704,32.0,302,1,,,,,,,,,
256,0,-231.02502933333335,42.666666666666664,574,2,3906.033154296875,0.003808419220149517,0.001,1,1.0,0.18475618958473206,-0.005816459655761719,,
384,0,-228.12725520000004,44.0,883,3,2091.584521484375,0.00409302394837141,0.001,2,1.0,0.1737600564956665,0.0006745457649230957,,
512,,,,,,2969.0391845703125,0.0034224691335111856,0.001,3,1.0,0.17710646986961365,8.970499038696289e-05,198.4,-241.75477419999999
512,0,-253.702091375,49.875,2052,4,,,,,,,,,
640,0,-249.9263407,50.1,2341,5,1420.8012451171876,0.003850748762488365,0.001,4,1.0,0.1719897836446762,1.3589859008789062e-05,,
768,0,-269.8008235,53.25,2609,6,2980.712451171875,0.0037661653477698565,0.001,5,1.0,0.18151754140853882,2.0742416381835938e-05,,
896,0,-283.6313589230769,55.0,2918,7,3785.23583984375,0.0037240474484860897,0.001,6,1.0,0.18127667903900146,3.5762786865234375e-07,,
1024,,,,,,3317.597314453125,0.004465607926249504,0.001,7,1.0,0.1645195186138153,-1.430511474609375e-06,115.0,-268.0760754
1024,0,-297.82740574999997,58.0625,4028,8,,,,,,,,,
1152,0,-289.90482061111106,56.22222222222222,4337,9,2068.2354736328125,0.0033904402516782284,0.001,8,1.0,0.17397895455360413,1.7881393432617188e-07,,
1280,0,-303.2731871,58.4,4609,10,4644.45771484375,0.003595524001866579,0.001,9,1.0,0.19816799461841583,-4.76837158203125e-07,,
1408,0,-301.4466768636363,58.04545454545455,4893,11,2521.41552734375,0.004003159236162901,0.001,10,1.0,0.15967205166816711,-3.5762786865234375e-07,,
1536,,,,,,2368.1745849609374,0.003972075879573822,0.001,11,1.0,0.17797541618347168,-9.5367431640625e-07,119.4,-385.7650258
1536,0,-296.15857027999994,57.2,6026,12,,,,,,,,,
1664,0,-301.17515626923074,57.65384615384615,6311,13,2982.0377197265625,0.0038748844526708126,0.001,12,1.0,0.1830843836069107,-4.76837158203125e-07,,
1792,0,-304.44167077777774,58.03703703703704,6591,14,3721.9359619140623,0.003896472044289112,0.001,13,1.0,0.16280142962932587,1.7881393432617188e-07,,
1920,0,-310.54826234375,58.75,6859,15,3273.9120361328123,0.004625248722732067,0.001,14,1.0,0.19637539982795715,5.960464477539063e-08,,
2048,,,,,,2254.6779052734373,0.004204816184937954,0.001,15,1.0,0.18859802186489105,0.0,395.6,-183.76828619999998
2048,0,-310.54826234375,58.75,8088,16,,,,,,,,,
2176,0,-314.1366321515152,59.54545454545455,8348,17,3610.1635986328124,0.004664248321205378,0.001,16,1.0,0.16602125763893127,-1.1920928955078125e-07,,
2304,0,-320.1184042222223,60.638888888888886,8633,18,2939.652294921875,0.004654117859899998,0.001,17,1.0,0.1644139587879181,-1.1920928955078125e-07,,
2432,0,-320.1184042222223,60.638888888888886,8925,19,3514.4374267578123,0.004616741091012955,0.001,18,1.0,0.19015207886695862,-2.384185791015625e-07,,
2560,,,,,,3829.3099609375,0.004757448565214872,0.001,19,1.0,0.17699147760868073,-1.1920928955078125e-07,398.0,-186.16922900000003
2560,0,-329.9738842,61.875,10153,20,,,,,,,,,
2688,0,-318.7765802619047,59.95238095238095,10419,21,1807.4628295898438,0.00452728196978569,0.001,20,1.0,0.17783457040786743,0.0,,
2816,0,-320.3871999772727,60.54545454545455,10683,22,2581.57939453125,0.004001740366220474,0.001,21,1.0,0.20842984318733215,-1.1920928955078125e-07,,
2944,0,-309.45990926530607,58.53061224489796,10940,23,3562.0875,0.004476075991988182,0.001,22,1.0,0.20014159381389618,-2.384185791015625e-07,,
3072,,,,,,2074.81171875,0.004190459847450256,0.001,23,1.0,0.19007693231105804,-3.5762786865234375e-07,207.4,-182.8479934
3072,0,-307.34374552941176,58.15686274509804,11999,24,,,,,,,,,
3200,0,-298.1058128928571,56.625,12262,25,2397.2847412109377,0.003979294560849667,0.001,24,1.0,0.19439074397087097,-3.5762786865234375e-07,,
3328,0,-293.3064623103448,55.87931034482759,12497,26,1158.7158447265624,0.004426389001309872,0.001,25,1.0,0.18715620040893555,-2.384185791015625e-07,,
3456,0,-292.8911913220339,55.847457627118644,12722,27,2036.9278930664063,0.004066080786287785,0.001,26,1.0,0.21738959848880768,-2.384185791015625e-07,,
3584,,,,,,2765.9349609375,0.0047411792911589146,0.001,27,1.0,0.20529821515083313,0.0,400.0,-247.34449220000002
3584,0,-290.4831192903226,55.53225806451613,13825,28,,,,,,,,,
3712,0,-290.5942610153846,56.10769230769231,14059,29,1247.4522583007813,0.004403271712362766,0.001,28,1.0,0.22256922721862793,-2.384185791015625e-07,,
3840,0,-288.3687288059701,55.940298507462686,14297,30,1695.3159545898438,0.004032968543469906,0.001,29,1.0,0.19087156653404236,-2.384185791015625e-07,,
3968,0,-288.3687288059701,55.940298507462686,14558,31,2452.7961181640626,0.004549400880932808,0.001,30,1.0,0.20813097059726715,-1.1920928955078125e-07,,
4096,,,,,,3165.725048828125,0.004996278788894415,0.001,31,1.0,0.1959003359079361,-1.1920928955078125e-07,398.2,-181.0413486
4096,0,-291.7339411884057,56.46376811594203,15720,32,,,,,,,,,
4224,0,-294.36770753424656,57.013698630136986,15964,33,3793.9484375,0.004549798555672169,0.001,32,1.0,0.21256491541862488,-1.1920928955078125e-07,,
4352,0,-284.64068985526313,55.28947368421053,16248,34,887.046435546875,0.00435199961066246,0.001,33,1.0,0.20698264241218567,-1.1920928955078125e-07,,
4480,0,-285.58811241025643,55.705128205128204,16508,35,3547.2141845703127,0.004565889947116375,0.001,34,1.0,0.21908485889434814,-1.1920928955078125e-07,,
4608,,,,,,2354.115673828125,0.004699246492236853,0.001,35,1.0,0.2212005853652954,-1.1920928955078125e-07,85.2,-182.3792684
4608,0,-286.38844982716046,55.81481481481482,17635,36,,,,,,,,,
4736,0,-279.4174020714285,54.54761904761905,17900,37,2172.031494140625,0.00424575712531805,0.001,36,1.0,0.20301413536071777,-1.1920928955078125e-07,,
4864,0,-281.40316416279063,54.95348837209303,18175,38,2242.3441650390623,0.004326845984905958,0.001,37,1.0,0.23790007829666138,0.0,,
4992,0,-283.12616559770106,55.275862068965516,18445,39,2604.6913330078123,0.004137840587645769,0.001,38,1.0,0.1991259604692459,0.0,,
5120,,,,,,2351.551123046875,0.004679494071751833,0.001,39,1.0,0.1843046247959137,-1.1920928955078125e-07,81.0,-181.410592
5120,0,-283.2871216703297,55.56043956043956,19548,40,,,,,,,,,
5248,0,-278.65249251578956,54.67368421052632,19838,41,1898.05166015625,0.004409754183143377,0.001,40,1.0,0.18864953517913818,-1.1920928955078125e-07,,
5376,0,-278.65249251578956,54.67368421052632,20086,42,2222.4581787109373,0.004635516554117203,0.001,41,1.0,0.19800487160682678,0.0,,
5504,0,-279.6912097708334,54.895833333333336,20342,43,2647.84521484375,0.004657307639718056,0.001,42,1.0,0.18403129279613495,0.0,,
5632,,,,,,2473.556640625,0.005112411454319954,0.001,43,1.0,0.18511152267456055,0.0,396.2,-180.8658592
5632,0,-282.91544289000007,55.79,21546,44,,,,,,,,,
5760,0,-281.14010284,55.6,21815,45,1038.2754272460938,0.004447714425623417,0.001,44,1.0,0.21712994575500488,0.0,,
5888,0,-281.20006606,55.64,22085,46,2661.1903076171875,0.004463723860681057,0.001,45,1.0,0.1952361762523651,-1.1920928955078125e-07,,
6016,0,-280.76928633,55.53,22370,47,2219.3068115234373,0.004528178833425045,0.001,46,1.0,0.20228970050811768,0.0,,
6144,,,,,,2026.5000244140624,0.004164132289588451,0.001,47,1.0,0.18352404236793518,0.0,209.8,-181.2520494
6144,0,-279.61929664,55.33,23498,48,,,,,,,,,
6272,0,-281.70892434,55.98,23729,49,2255.7805908203127,0.004584950394928455,0.001,48,1.0,0.2051687240600586,-1.1920928955078125e-07,,
6400,0,-270.30437337,54.08,24032,50,1310.1369506835938,0.004568872507661581,0.001,49,1.0,0.2201118767261505,0.0,,
