train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.5,128,-136.92408,1,0,26.0,275,,,,,,,,,
0.5,256,-203.6071745,2,0,38.75,571,3127.963232421875,1,1.0,0.001,0.26054003834724426,5.125999450683594e-06,2.908402919769287,,
0.5,384,-240.14107900000002,3,0,43.666666666666664,849,3107.08837890625,2,1.0,0.001,0.1590540111064911,-0.00023353099822998047,2.397244930267334,,
0.5,512,,,,,,2527.25126953125,3,1.0,0.001,0.18634328246116638,0.0005233287811279297,2.7191338539123535,-185.1158782,49.2
0.5,512,-229.9958541,4,0,42.3,1948,,,,,,,,,
0.5,640,-226.6800354615384,5,0,41.84615384615385,2224,2426.73271484375,4,1.0,0.001,0.164975106716156,0.0002599954605102539,1.173552393913269,,
0.5,768,-223.38968706666662,6,0,41.666666666666664,2505,2699.18564453125,5,1.0,0.001,0.17799612879753113,1.5914440155029297e-05,1.387366771697998,,
0.5,896,-229.2515656111111,7,0,42.888888888888886,2793,3026.4259033203125,6,1.0,0.001,0.22881242632865906,2.09808349609375e-05,1.8825511932373047,,
0.5,1024,,,,,,3032.6158203125,7,1.0,0.001,0.21767538785934448,1.6570091247558594e-05,2.5068302154541016,-182.6098074,132.4
0.5,1024,-228.33732509999996,8,0,42.65,3881,,,,,,,,,
0.5,1152,-245.85147156521737,9,0,45.91304347826087,4190,2341.690673828125,8,1.0,0.001,0.22154875099658966,4.0471553802490234e-05,2.5968470573425293,,
0.5,1280,-230.67327514814812,10,0,44.0,4470,1714.9792602539062,9,1.0,0.001,0.20309363305568695,1.806020736694336e-05,1.1502856016159058,,
0.5,1408,-212.8541368787879,11,0,41.54545454545455,4784,1755.8388793945312,10,1.0,0.001,0.21841922402381897,-1.1920928955078125e-06,1.4455636739730835,,
0.5,1536,,,,,,950.055859375,11,1.0,0.001,0.21284402906894684,2.9802322387695312e-06,1.495649814605713,-7.9319626,2.0
0.5,1536,-202.95460272972977,12,0,39.972972972972975,5095,,,,,,,,,
0.5,1664,-195.7142900487805,13,0,38.5609756097561,5367,1695.8548950195313,12,1.0,0.001,0.2697467505931854,-2.4080276489257812e-05,2.870176315307617,,
0.5,1792,-190.3878934444445,14,0,38.13333333333333,5657,1660.35234375,13,1.0,0.001,0.21206939220428467,1.055002212524414e-05,1.1566095352172852,,
0.5,1920,-175.35438079245282,15,0,35.60377358490566,5940,1147.0630859375,14,1.0,0.001,0.20936962962150574,-1.633167266845703e-05,1.7440108060836792,,
0.5,2048,,,,,,630.1968322753906,15,1.0,0.001,0.20154479146003723,-1.2278556823730469e-05,0.9375181794166565,-241.9368106,115.0
0.5,2048,-170.66188036842107,16,0,34.98245614035088,7005,,,,,,,,,
0.5,2176,-166.17983633898305,17,0,34.16949152542373,7252,1184.6072509765625,16,1.0,0.001,0.3210371732711792,-3.814697265625e-06,1.5747084617614746,,
0.5,2304,-160.66730798461538,18,0,33.8,7477,1390.6901611328126,17,1.0,0.001,0.25788676738739014,-1.2040138244628906e-05,4.131281852722168,,
0.5,2432,-154.10642843835615,19,0,32.945205479452056,7725,1187.9245849609374,18,1.0,0.001,0.23976463079452515,-1.4543533325195312e-05,1.2615861892700195,,
0.5,2560,,,,,,451.93019409179686,19,1.0,0.001,0.2311132550239563,-2.193450927734375e-05,1.6347088813781738,-303.41220439999995,395.8
0.5,2560,-151.3690876578947,20,0,32.64473684210526,8853,,,,,,,,,
0.5,2688,-149.83639512658223,21,0,32.88607594936709,9055,1045.0516479492187,20,1.0,0.001,0.34823983907699585,-5.4836273193359375e-06,4.721329689025879,,
0.5,2816,-147.82709025,22,0,33.19047619047619,9257,593.0981994628906,21,1.0,0.001,0.33572226762771606,-1.1444091796875e-05,2.6248295307159424,,
0.5,2944,-141.68446573033708,23,0,32.04494382022472,9462,508.9743194580078,22,1.0,0.001,0.42158037424087524,-2.086162567138672e-05,2.9658637046813965,,
0.5,3072,,,,,,940.3974609375,23,1.0,0.001,0.2512825131416321,-1.4662742614746094e-05,1.0828694105148315,-155.5405858,400.0
0.5,3072,-137.67555125263158,24,0,31.905263157894737,10536,,,,,,,,,
0.5,3200,-136.71598815625,25,0,31.770833333333332,10683,232.3269027709961,24,1.0,0.001,0.2928348779678345,-3.135204315185547e-05,1.7403216361999512,,
0.5,3328,-134.9087447878788,26,0,31.717171717171716,10875,590.7786315917969,25,1.0,0.001,0.3523397445678711,-1.1920928955078125e-07,1.5046660900115967,,
0.5,3456,-133.31640585999997,27,0,32.4,11076,767.5592346191406,26,1.0,0.001,0.44060182571411133,-1.728534698486328e-05,2.1990556716918945,,
0.5,3584,,,,,,784.7952941894531,27,1.0,0.001,0.2034313976764679,-1.5854835510253906e-05,1.1154805421829224,-181.6332848,400.0
0.5,3584,-128.60445449,28,0,32.21,12192,,,,,,,,,
0.5,3712,-123.05854497999997,29,0,31.49,12380,572.3923583984375,28,1.0,0.001,0.27200421690940857,-2.193450927734375e-05,1.0857908725738525,,
