time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
128,-136.92408,1,0,26.0,276,,,,,,,,,
256,-208.62125325,2,0,38.75,571,3127.963232421875,1,1.0,0.001,0.00038189906626939774,5.125999450683594e-06,0.06083261966705322,,
384,-215.90524914285712,3,0,39.57142857142857,842,3143.6175048828127,2,1.0,0.001,0.0003327663289383054,-6.73532485961914e-05,0.05828694626688957,,
512,,,,,,2358.97763671875,3,1.0,0.001,0.0003773336356971413,0.00048732757568359375,0.05459972470998764,-183.3639838,58.6
512,-247.7465432222222,4,0,44.55555555555556,1930,,,,,,,,,
640,-235.5923277,5,0,43.0,2202,3571.7724365234376,4,1.0,0.001,0.00035800563637167215,1.6808509826660156e-05,0.05349935218691826,,
768,-252.6611064285714,6,0,45.714285714285715,2479,3220.7499267578123,5,1.0,0.001,0.0003680282970890403,0.00016701221466064453,0.05876759812235832,,
896,-259.5506629375,7,0,46.875,2777,2870.042431640625,6,1.0,0.001,0.0003548079403117299,1.6987323760986328e-05,0.05446663871407509,,
1024,,,,,,3669.7658447265626,7,1.0,0.001,0.00034629329456947744,1.3709068298339844e-05,0.053165338933467865,-171.8721166,132.4
1024,-271.39579205263163,8,0,48.421052631578945,3878,,,,,,,,,
1152,-275.8139675238096,9,0,49.23809523809524,4172,2301.4991455078125,8,1.0,0.001,0.00034843734465539455,1.6808509826660156e-05,0.052644114941358566,,
1280,-282.74346199999997,10,0,50.25,4461,2829.7168701171877,9,1.0,0.001,0.00034698855597525835,7.867813110351562e-06,0.0570233128964901,,
1408,-282.15449215999996,11,0,50.08,4757,2546.4278076171877,10,1.0,0.001,0.00038243207382038236,6.139278411865234e-06,0.05689040198922157,,
1536,,,,,,3813.9423095703123,11,1.0,0.001,0.0003546258667483926,-9.775161743164062e-06,0.058447182178497314,-88.7366216,56.2
1536,-288.57905085185183,12,0,52.03703703703704,5686,,,,,,,,,
1664,-296.3426808965517,13,0,53.206896551724135,5976,3488.344873046875,12,1.0,0.001,0.00033529638312757015,-8.702278137207031e-06,0.0537533201277256,,
1792,-294.11038471874997,14,0,52.625,6274,4039.809326171875,13,1.0,0.001,0.00038288754876703024,5.841255187988281e-06,0.04993809014558792,,
1920,-301.09440845714283,15,0,53.285714285714285,6587,2883.3070068359375,14,1.0,0.001,0.00036792695755138993,-1.5020370483398438e-05,0.05988207086920738,,
2048,,,,,,4275.9203125,15,1.0,0.001,0.0003517366130836308,-1.1086463928222656e-05,0.05509120970964432,-186.018967,58.6
2048,-301.09440845714283,16,0,53.285714285714285,7650,,,,,,,,,
2176,-307.9884593513513,17,0,54.567567567567565,7935,3297.9150390625,16,1.0,0.001,0.00039599795127287507,7.152557373046875e-07,0.05206337571144104,,
2304,-305.79532658536584,18,0,54.26829268292683,8221,3417.8546142578125,17,1.0,0.001,0.00034213432809337974,-1.0609626770019531e-05,0.058827776461839676,,
2432,-299.4234704883721,19,0,53.13953488372093,8511,2366.63857421875,18,1.0,0.001,0.0003810581110883504,-7.62939453125e-06,0.059026818722486496,,
2560,,,,,,3645.308837890625,19,1.0,0.001,0.00034483050694689155,-1.5497207641601562e-06,0.05578130856156349,-183.3314954,65.0
2560,-304.6934415777778,20,0,53.977777777777774,9599,,,,,,,,,
2688,-306.5242154375,21,0,54.145833333333336,9887,2673.151318359375,20,1.0,0.001,0.0003683871473185718,1.9073486328125e-06,0.05272377282381058,,
2816,-301.8953845769231,22,0,53.44230769230769,10159,2746.76591796875,21,1.0,0.001,0.00032313255360350013,-5.841255187988281e-06,0.05392437428236008,,
2944,-300.698576264151,23,0,53.22641509433962,10430,1422.3609497070313,22,1.0,0.001,0.0003577209427021444,-9.298324584960938e-06,0.056652963161468506,,
3072,,,,,,4406.066455078125,23,1.0,0.001,0.0003606177924666554,-1.1444091796875e-05,0.06017366796731949,-185.80907580000002,60.4
3072,-300.698576264151,24,0,53.22641509433962,11521,,,,,,,,,
3200,-303.9990886140351,25,0,53.719298245614034,11771,4291.468798828125,24,1.0,0.001,0.00034651861642487347,-1.9073486328125e-06,0.05372128635644913,,
3328,-303.2602860169492,26,0,53.74576271186441,12048,2876.5130859375,25,1.0,0.001,0.00035877444315701723,-2.7418136596679688e-06,0.053607791662216187,,
3456,-307.3380291147541,27,0,54.47540983606557,12316,3057.341162109375,26,1.0,0.001,0.0003588272084016353,7.748603820800781e-07,0.05733313411474228,,
3584,,,,,,2458.3526123046877,27,1.0,0.001,0.0003569571126718074,2.86102294921875e-06,0.05898336321115494,-184.1502334,58.0
3584,-305.795269359375,28,0,54.5,13394,,,,,,,,,
3712,-305.5652408787879,29,0,54.53030303030303,13674,2433.6221435546877,28,1.0,0.001,0.0003282277029938996,-4.5299530029296875e-06,0.05376190319657326,,
3840,-303.69409940579715,30,0,54.30434782608695,13958,2953.9229736328125,29,1.0,0.001,0.0003549014509189874,-3.337860107421875e-06,0.05759948119521141,,
3968,-304.45989054929584,31,0,54.309859154929576,14232,2809.33271484375,30,1.0,0.001,0.00037402776069939137,-3.6954879760742188e-06,0.060180775821208954,,
4096,,,,,,3088.5357421875,31,1.0,0.001,0.00033559411531314254,7.748603820800781e-07,0.056976452469825745,-182.3635858,58.2
4096,-303.8410587808219,32,0,54.19178082191781,15282,,,,,,,,,
4224,-302.4567746973685,33,0,54.19736842105263,15548,2407.108935546875,32,1.0,0.001,0.00034640743979252875,-7.3909759521484375e-06,0.055354416370391846,,
