time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,64,15.0,-77.544756,0,485,,,,,,,,,
2,128,23.5,-109.160916,0,943,1.0,-0.024878621101379395,1,0.1491893231868744,0.0003,0.0014881810639053583,1087.6498291015625,,
3,192,18.333333333333332,-86.191373,0,1414,1.0,-1.1920928955078125e-07,2,0.15139630436897278,0.0003,0.0018603672506287694,1677.0912841796876,,
4,256,18.333333333333332,-86.191373,0,1884,1.0,0.0,3,0.1765211969614029,0.0003,0.002552302088588476,1236.2372436523438,,
5,320,42.6,-223.3717538,0,2328,1.0,-1.1920928955078125e-07,4,0.1821383535861969,0.0003,0.002748404163867235,1845.3325805664062,,
6,384,48.166666666666664,-250.21910466666665,0,2813,1.0,0.0,5,0.23841190338134766,0.0003,0.003413879545405507,1397.5708740234375,,
7,448,46.5,-252.37932037500002,0,3297,1.0,-1.1920928955078125e-07,6,0.18917052447795868,0.0003,0.0031572282314300537,1609.4874755859375,,
,512,,,,,1.0,0.0,7,0.2234266698360443,0.0003,0.0032527900766581297,1567.87666015625,-302.19571600000006,136.4
8,512,46.5,-252.37932037500002,0,6502,,,,,,,,,
9,576,46.5,-252.37932037500002,0,6983,1.0,0.0,8,0.23795200884342194,0.0003,0.004043059889227152,1808.5174438476563,,
10,640,51.18181818181818,-281.0413626363636,0,7409,1.0,0.0,9,0.21866920590400696,0.0003,0.003665490308776498,1805.7278564453125,,
11,704,48.333333333333336,-263.8874195,0,7914,1.0,0.0,10,0.23099049925804138,0.0003,0.0037951418198645115,1424.3647583007812,,
12,768,50.46153846153846,-278.04787007692306,0,8390,1.0,0.0,11,0.22460925579071045,0.0003,0.003491814713925123,1568.6758911132813,,
13,832,48.53333333333333,-267.2462798,0,8807,1.0,0.0,12,0.240183487534523,0.0003,0.0041814823634922504,1740.3809448242187,,
14,896,48.53333333333333,-267.2462798,0,9276,1.0,0.0,13,0.27959194779396057,0.0003,0.004443839192390442,877.7748229980468,,
15,960,50.76470588235294,-274.31026117647053,0,9696,1.0,5.960464477539063e-08,14,0.23819884657859802,0.0003,0.0039032078348100185,1524.3915283203125,,
,1024,,,,,1.0,5.960464477539063e-08,15,0.2824093997478485,0.0003,0.004488675855100155,1355.0455932617188,-88.03385,61.0
16,1024,50.76470588235294,-274.31026117647053,0,11366,,,,,,,,,
17,1088,52.05555555555556,-281.80843916666663,0,11839,1.0,0.0,16,0.26678356528282166,0.0003,0.004323655739426613,1604.3095092773438,,
18,1152,53.4,-290.7960164,0,12279,1.0,0.0,17,0.25825417041778564,0.0003,0.004945710767060518,1781.3670776367187,,
19,1216,52.333333333333336,-284.282319,0,12717,1.0,5.960464477539063e-08,18,0.26612192392349243,0.0003,0.004022205248475075,1572.6874145507813,,
20,1280,53.36363636363637,-289.1350007272727,0,13164,1.0,0.0,19,0.30043506622314453,0.0003,0.004266971722245216,1023.240673828125,,
21,1344,52.130434782608695,-280.89687821739125,0,13640,1.0,0.0,20,0.27600282430648804,0.0003,0.004121406003832817,1221.8793090820313,,
22,1408,52.130434782608695,-280.89687821739125,0,14123,1.0,-1.1920928955078125e-07,21,0.29171860218048096,0.0003,0.004414173774421215,1625.9212036132812,,
23,1472,54.4,-293.54065812,0,14661,1.0,0.0,22,0.25970712304115295,0.0003,0.004451603628695011,1877.1793334960937,,
,1536,,,,,1.0,0.0,23,0.2589764893054962,0.0003,0.004658356308937073,1102.8596435546874,-184.5925772,134.2
24,1536,55.0,-295.9752632592593,0,17845,,,,,,,,,
25,1600,55.0,-295.9752632592593,0,18305,1.0,0.0,24,0.2742161154747009,0.0003,0.004117611795663834,1502.2704223632813,,
26,1664,54.142857142857146,-291.3918061071429,0,18786,1.0,5.960464477539063e-08,25,0.26274651288986206,0.0003,0.0037379853893071413,1906.7043579101562,,
27,1728,54.758620689655174,-296.31144924137936,0,19217,1.0,-1.1920928955078125e-07,26,0.26796016097068787,0.0003,0.004447916056960821,1513.6040649414062,,
28,1792,55.43333333333333,-300.0057339333334,0,19662,1.0,0.0,27,0.2685543894767761,0.0003,0.004657446406781673,1094.101025390625,,
29,1856,56.0,-304.3536378387097,0,20092,1.0,0.0,28,0.2694959044456482,0.0003,0.004296374507248402,1845.3303833007812,,
30,1920,56.0,-304.3536378387097,0,20520,1.0,5.960464477539063e-08,29,0.24979449808597565,0.0003,0.0046463096514344215,1653.4411376953126,,
31,1984,56.65625,-306.95123265625006,0,20920,1.0,-1.1920928955078125e-07,30,0.27653202414512634,0.0003,0.004641881678253412,1104.310009765625,,
,2048,,,,,1.0,0.0,31,0.25516170263290405,0.0003,0.004674299154430628,725.5089416503906,-183.32112479999998,134.8
32,2048,56.65625,-306.95123265625006,0,24023,,,,,,,,,
33,2112,58.470588235294116,-314.05613773529416,0,24383,1.0,-1.1920928955078125e-07,32,0.2828855514526367,0.0003,0.004668813664466143,1207.9959228515625,,
34,2176,59.02857142857143,-315.4019449714286,0,24769,1.0,0.0,33,0.2596757113933563,0.0003,0.004374557174742222,916.9000671386718,,
35,2240,59.02857142857143,-315.4019449714286,0,25248,1.0,1.1920928955078125e-07,34,0.2717728316783905,0.0003,0.00497589074075222,1065.369873046875,,
36,2304,58.30555555555556,-310.21263208333335,0,25657,1.0,-1.1920928955078125e-07,35,0.2815384268760681,0.0003,0.00440268125385046,1563.1095581054688,,
37,2368,59.3421052631579,-311.0143297894737,0,26063,1.0,5.960464477539063e-08,36,0.310863196849823,0.0003,0.004844851791858673,934.3379699707032,,
38,2432,59.717948717948715,-313.405300974359,0,26544,1.0,-1.1920928955078125e-07,37,0.2729046940803528,0.0003,0.00442031305283308,698.8287475585937,,
39,2496,59.717948717948715,-313.405300974359,0,27011,1.0,-1.1920928955078125e-07,38,0.28230714797973633,0.0003,0.004404543898999691,1514.7473510742188,,
,2560,,,,,1.0,0.0,39,0.3007575273513794,0.0003,0.004400081001222134,1734.5921752929687,-184.4062534,398.2
40,2560,60.1,-316.121062025,0,30195,,,,,,,,,
41,2624,59.285714285714285,-310.5465729761904,0,30623,1.0,-1.1920928955078125e-07,40,0.28716328740119934,0.0003,0.0047552455216646194,958.8767883300782,,
42,2688,58.72727272727273,-306.35781620454543,0,31028,1.0,0.0,41,0.26279568672180176,0.0003,0.0038405470550060272,801.0129577636719,,
43,2752,57.82222222222222,-301.42734079999997,0,31454,1.0,0.0,42,0.2831668257713318,0.0003,0.004442079458385706,864.4633544921875,,
44,2816,58.58695652173913,-304.786285673913,0,31855,1.0,0.0,43,0.2845398485660553,0.0003,0.004066579043865204,1158.6267333984374,,
