time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
213,64,0,1,,,,,,,,,,,
457,128,0,2,1,-0.004124999046325684,0.0003,1.0,0.0017772555584087968,1620.9772216796875,0.15402181446552277,,,,
685,192,0,3,2,1.1920928955078125e-07,0.0003,1.0,0.0026994962245225906,2405.93525390625,0.1563694030046463,,,,
928,256,0,4,3,0.0,0.0003,1.0,0.003866390325129032,1862.4289306640626,0.2076299637556076,58.5,-340.739892,,
1180,320,0,5,4,-0.0006992816925048828,0.0003,1.0,0.0032220466528087854,1112.44423828125,0.18967099487781525,65.75,-393.40229775,,
1407,384,0,6,5,-0.0006389617919921875,0.0003,1.0,0.0029594185762107372,1351.3332763671874,0.1916380524635315,51.833333333333336,-305.48143566666664,,
1624,448,0,7,6,0.0,0.0003,1.0,0.004250704310834408,1376.1195434570313,0.24004574120044708,51.833333333333336,-305.48143566666664,,
,512,,,7,0.0,0.0003,1.0,0.0040254537016153336,1902.6058959960938,0.2034745216369629,,,-485.25931360000004,400.0
3236,512,0,8,,,,,,,,54.142857142857146,-331.96776714285716,,
3459,576,0,9,8,0.0,0.0003,1.0,0.004291025456041098,1586.0785522460938,0.2054142951965332,54.142857142857146,-331.96776714285716,,
3688,640,0,10,9,-1.1920928955078125e-07,0.0003,1.0,0.0047331503592431545,1701.5699829101563,0.21774247288703918,58.0,-340.78289944444447,,
3926,704,0,11,10,0.0,0.0003,1.0,0.003777290228754282,1296.732080078125,0.20834822952747345,60.0,-347.2468796,,
4171,768,0,12,11,0.0,0.0003,1.0,0.004399915225803852,1608.5330322265625,0.26115110516548157,60.0,-347.2468796,,
4397,832,0,13,12,-1.1920928955078125e-07,0.0003,1.0,0.004225100390613079,2367.400634765625,0.23871251940727234,59.583333333333336,-343.8614798333333,,
4577,896,0,14,13,0.0,0.0003,1.0,0.004233320709317923,1157.6212524414063,0.2233857661485672,59.53846153846154,-341.5044879230769,,
4817,960,0,15,14,0.0,0.0003,1.0,0.0040302216075360775,918.377099609375,0.239995539188385,56.9375,-323.4431266875,,
,1024,,,15,0.0,0.0003,1.0,0.004567859228700399,1371.3259521484374,0.2669023275375366,,,-187.4326932,400.0
6422,1024,0,16,,,,,,,,56.9375,-323.4431266875,,
6628,1088,0,17,16,1.1920928955078125e-07,0.0003,1.0,0.004384982865303755,1962.7934936523438,0.23633936047554016,56.9375,-323.4431266875,,
6864,1152,0,18,17,0.0,0.0003,1.0,0.00454011932015419,1636.4645629882812,0.26498883962631226,57.35294117647059,-323.69994235294115,,
7091,1216,0,19,18,-1.1920928955078125e-07,0.0003,1.0,0.004822265822440386,2041.4154418945313,0.28449273109436035,58.22222222222222,-330.1266456111111,,
7304,1280,0,20,19,-1.1920928955078125e-07,0.0003,1.0,0.00513726519420743,1931.8308959960937,0.2647375464439392,58.45,-333.38468815,,
7517,1344,0,21,20,5.960464477539063e-08,0.0003,1.0,0.0042410604655742645,1495.943896484375,0.2623145580291748,59.95238095238095,-338.9580125238095,,
7743,1408,0,22,21,-1.1920928955078125e-07,0.0003,1.0,0.003933651838451624,1541.1673706054687,0.2618849277496338,59.18181818181818,-334.5105659545454,,
7948,1472,0,23,22,0.0,0.0003,1.0,0.00422055646777153,1135.9413208007813,0.2401011437177658,58.26086956521739,-326.4410252173913,,
,1536,,,23,0.0,0.0003,1.0,0.004012689460068941,1015.6972534179688,0.24820414185523987,,,-249.76599460000003,400.0
9547,1536,0,24,,,,,,,,59.166666666666664,-331.67718287499997,,
9810,1600,0,25,24,-1.1920928955078125e-07,0.0003,1.0,0.0042583998292684555,1518.4947143554687,0.26297932863235474,59.8,-335.99896839999997,,
10035,1664,0,26,25,0.0,0.0003,1.0,0.004519159905612469,2095.540673828125,0.243673175573349,59.8,-335.99896839999997,,
10239,1728,0,27,26,0.0,0.0003,1.0,0.004285313189029694,1325.352734375,0.2785901427268982,58.75,-329.10405657142854,,
10461,1792,0,28,27,-1.1920928955078125e-07,0.0003,1.0,0.0038581942208111286,753.1331726074219,0.23273560404777527,59.48275862068966,-331.3616552413793,,
10695,1856,0,29,28,-1.1920928955078125e-07,0.0003,1.0,0.004516460932791233,1400.3491088867188,0.27177661657333374,58.43333333333333,-324.74533260000004,,
10934,1920,0,30,29,0.0,0.0003,1.0,0.004071975126862526,1091.21845703125,0.2523435056209564,56.84375,-314.70069375,,
11152,1984,0,31,30,-1.1920928955078125e-07,0.0003,1.0,0.0045064641162753105,1384.8008422851562,0.28561848402023315,56.84375,-314.70069375,,
,2048,,,31,0.0,0.0003,1.0,0.0048865401186048985,1338.5430297851562,0.25014644861221313,,,-256.82784060000006,400.0
12714,2048,0,32,,,,,,,,57.42424242424242,-318.1557944242424,,
12902,2112,0,33,32,0.0,0.0003,1.0,0.004903183318674564,1203.8985229492187,0.25676119327545166,56.51428571428571,-312.5393957142857,,
13106,2176,0,34,33,0.0,0.0003,1.0,0.0044615622609853745,837.748681640625,0.23986858129501343,56.80555555555556,-312.6989080555556,,
13345,2240,0,35,34,-1.1920928955078125e-07,0.0003,1.0,0.004653659649193287,1098.219775390625,0.26113149523735046,57.4054054054054,-314.04432905405406,,
13577,2304,0,36,35,0.0,0.0003,1.0,0.004737374372780323,1803.1932373046875,0.27411988377571106,56.3421052631579,-308.3963959736842,,
13801,2368,0,37,36,0.0,0.0003,1.0,0.005059068091213703,1510.8561401367188,0.28385671973228455,55.92307692307692,-306.3801501282051,,
13999,2432,0,38,37,5.960464477539063e-08,0.0003,1.0,0.005171286873519421,1096.6440795898438,0.28397953510284424,56.90243902439025,-310.47120212195125,,
14194,2496,0,39,38,1.1920928955078125e-07,0.0003,1.0,0.006059193518012762,982.1459167480468,0.2733035087585449,56.90243902439025,-310.47120212195125,,
,2560,,,39,0.0,0.0003,1.0,0.004408794455230236,789.9151123046875,0.25564926862716675,,,-310.272651,400.0
15800,2560,0,40,,,,,,,,57.214285714285715,-309.46983052380955,,
16020,2624,0,41,40,5.960464477539063e-08,0.0003,1.0,0.005140936002135277,1130.099169921875,0.2532973885536194,57.395348837209305,-308.9548328604651,,
16241,2688,0,42,41,0.0,0.0003,1.0,0.004502444062381983,1286.9264892578126,0.2856804430484772,57.84444444444444,-309.9243004888889,,
16440,2752,0,43,42,5.960464477539063e-08,0.0003,1.0,0.0051158820278942585,1467.2162353515625,0.28674548864364624,57.84444444444444,-309.9243004888889,,
16641,2816,0,44,43,0.0,0.0003,1.0,0.00580277806147933,876.2814697265625,0.26391488313674927,57.84444444444444,-309.9243004888889,,
16827,2880,0,45,44,2.384185791015625e-07,0.0003,1.0,0.0059489356353878975,1130.6191772460938,0.2550416588783264,58.46808510638298,-311.75358548936174,,
17014,2944,0,46,45,0.0,0.0003,1.0,0.004797543864697218,582.4162170410157,0.287690132856369,58.666666666666664,-312.19089077083333,,
17218,3008,0,47,46,0.0,0.0003,1.0,0.005226049572229385,1010.4052001953125,0.2819247543811798,58.38,-307.63901358000004,,
,3072,,,47,0.0,0.0003,1.0,0.005078474059700966,761.43505859375,0.28331536054611206,,,-191.3222338,400.0
18803,3072,0,48,,,,,,,,58.38,-307.63901358000004,,
19035,3136,0,49,48,0.0,0.0003,1.0,0.005353088956326246,1259.2811645507813,0.2608877420425415,57.90196078431372,-304.35427078431377,,
19222,3200,0,50,49,1.7881393432617188e-07,0.0003,1.0,0.005185677669942379,1080.4664672851563,0.2847173810005188,58.38461538461539,-305.88480698076927,,
19407,3264,0,51,50,5.960464477539063e-08,0.0003,1.0,0.005539753474295139,537.0838195800782,0.25423896312713623,58.867924528301884,-307.5680569433963,,
19597,3328,0,52,51,0.0,0.0003,1.0,0.0048263659700751305,729.763818359375,0.2784850001335144,59.25454545454546,-306.42749567272733,,
19778,3392,0,53,52,1.1920928955078125e-07,0.0003,1.0,0.005324742291122675,650.4104919433594,0.26044076681137085,59.25454545454546,-306.42749567272733,,
19956,3456,0,54,53,0.0,0.0003,1.0,0.005128525197505951,940.1105773925781,0.29439738392829895,58.5,-302.2738084464286,,
20175,3520,0,55,54,0.0,0.0003,1.0,0.0049967896193265915,889.3454345703125,0.32018715143203735,58.31578947368421,-300.2749652982456,,
,3584,,,55,0.0,0.0003,1.0,0.005741497501730919,973.3272033691406,0.2763047218322754,,,-240.947307,400.0
21757,3584,0,56,,,,,,,,59.32203389830509,-302.8056399491526,,
21945,3648,0,57,56,0.0,0.0003,1.0,0.004702678881585598,964.9854553222656,0.2763243317604065,58.733333333333334,-299.62180090000004,,
22144,3712,0,58,57,-1.1920928955078125e-07,0.0003,1.0,0.006215791683644056,867.8661376953125,0.28769397735595703,58.19672131147541,-296.36197977049187,,
22348,3776,0,59,58,0.0,0.0003,1.0,0.004841235466301441,952.2209350585938,0.29618173837661743,58.76190476190476,-297.78161784126985,,
22526,3840,0,60,59,0.0,0.0003,1.0,0.005435831844806671,811.5092468261719,0.2614309787750244,58.578125,-295.939823390625,,
22737,3904,0,61,60,0.0,0.0003,1.0,0.004976589232683182,443.4329315185547,0.2922370731830597,57.72727272727273,-290.2093264090909,,
22927,3968,0,62,61,0.0,0.0003,1.0,0.005088480189442635,634.5571472167969,0.2927907705307007,56.73529411764706,-285.0642330735294,,
23124,4032,0,63,62,0.0,0.0003,1.0,0.00549491960555315,713.7265197753907,0.29457035660743713,56.73529411764706,-285.0642330735294,,
,4096,,,63,0.0,0.0003,1.0,0.00555186765268445,1051.624560546875,0.28103023767471313,,,-138.6357916,400.0
24708,4096,0,64,,,,,,,,56.957142857142856,-284.41420597142854,,
24894,4160,0,65,64,0.0,0.0003,1.0,0.005008554086089134,1138.92197265625,0.28979307413101196,56.929577464788736,-283.3764162112676,,
25065,4224,0,66,65,0.0,0.0003,1.0,0.006245845928788185,427.41966247558594,0.27358192205429077,56.929577464788736,-283.3764162112676,,
25250,4288,0,67,66,1.1920928955078125e-07,0.0003,1.0,0.005394904874265194,709.0983154296875,0.2805027961730957,56.929577464788736,-283.3764162112676,,
25421,4352,0,68,67,0.0,0.0003,1.0,0.004817618057131767,1084.0148071289063,0.24999438226222992,56.84722222222222,-281.82845475,,
25593,4416,0,69,68,1.1920928955078125e-07,0.0003,1.0,0.005956146866083145,869.2187561035156,0.29118919372558594,57.78378378378378,-284.51561835135135,,
25780,4480,0,70,69,1.1920928955078125e-07,0.0003,1.0,0.00563967227935791,906.9924743652343,0.2978534698486328,57.8421052631579,-283.76793910526317,,
25974,4544,0,71,70,5.960464477539063e-08,0.0003,1.0,0.00539803272113204,462.5321014404297,0.28435251116752625,57.8421052631579,-283.76793910526317,,
,4608,,,71,0.0,0.0003,1.0,0.005011765286326408,1049.9171997070312,0.26284000277519226,,,-174.74520139999998,400.0
27553,4608,0,72,,,,,,,,57.857142857142854,-282.3063667012987,,
27757,4672,0,73,72,1.1920928955078125e-07,0.0003,1.0,0.0049527911469340324,848.1224731445312,0.325084388256073,57.857142857142854,-282.3063667012987,,
27937,4736,0,74,73,0.0,0.0003,1.0,0.005187691655009985,1366.4744262695312,0.28471851348876953,58.17948717948718,-283.24748124358973,,
28102,4800,0,75,74,1.7881393432617188e-07,0.0003,1.0,0.0052595725283026695,671.203515625,0.35428035259246826,58.51898734177215,-284.4690023670886,,
28277,4864,0,76,75,0.0,0.0003,1.0,0.005380307324230671,762.3090393066407,0.297055721282959,58.9625,-285.5475304875,,
28462,4928,0,77,76,0.0,0.0003,1.0,0.005612574517726898,765.8853393554688,0.259926974773407,58.9625,-285.5475304875,,
28610,4992,0,78,77,-1.1920928955078125e-07,0.0003,1.0,0.006021101493388414,1016.1261901855469,0.28359225392341614,59.329268292682926,-285.7716513902439,,
28796,5056,0,79,78,-1.1920928955078125e-07,0.0003,1.0,0.005577234551310539,352.1987762451172,0.30869340896606445,59.329268292682926,-285.7716513902439,,
