time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
214,64,0,1,,,,,,,,,,,
458,128,0,2,1,0.0010474920272827148,0.0003,1.0,0.002393021946772933,1503.2064208984375,0.16500775516033173,,,,
681,192,0,3,2,0.0,0.0003,1.0,0.0027711575385183096,2481.4088134765625,0.15547892451286316,,,,
926,256,0,4,3,5.960464477539063e-08,0.0003,1.0,0.003402482718229294,1869.8682983398437,0.19623936712741852,58.5,-345.7811825,,
1178,320,0,5,4,0.0,0.0003,1.0,0.0034148613922297955,1155.9108032226563,0.20100969076156616,66.0,-395.2293125,,
1406,384,0,6,5,1.1920928955078125e-07,0.0003,1.0,0.0035964695271104574,1468.1106079101562,0.22420327365398407,52.0,-307.88217333333336,,
1623,448,0,7,6,0.0,0.0003,1.0,0.0035471287555992603,1475.7683715820312,0.2519771456718445,52.0,-307.88217333333336,,
,512,,,7,5.960464477539063e-08,0.0003,1.0,0.004006322007626295,1949.6788452148437,0.21224820613861084,,,-393.96945999999997,400.0
3238,512,0,8,,,,,,,,54.285714285714285,-333.8074991428571,,
3462,576,0,9,8,1.1920928955078125e-07,0.0003,1.0,0.004835242405533791,1709.1068603515625,0.1962013840675354,54.285714285714285,-333.8074991428571,,
3694,640,0,10,9,1.7881393432617188e-07,0.0003,1.0,0.005192912183701992,1870.7032470703125,0.2439899742603302,57.888888888888886,-344.0259018888889,,
3931,704,0,11,10,0.0,0.0003,1.0,0.004496501758694649,1706.475927734375,0.2593764662742615,59.8,-354.8793276,,
4179,768,0,12,11,0.0,0.0003,1.0,0.004014761187136173,1675.3926879882813,0.23234713077545166,59.8,-354.8793276,,
4407,832,0,13,12,0.0,0.0003,1.0,0.004260983318090439,2283.3327392578126,0.25106561183929443,58.69230769230769,-346.26099923076924,,
4581,896,0,14,13,0.0,0.0003,1.0,0.004434345755726099,1067.9103271484375,0.2276034951210022,58.69230769230769,-346.26099923076924,,
4809,960,0,15,14,-1.1920928955078125e-07,0.0003,1.0,0.0048129986971616745,911.0374267578125,0.23461589217185974,57.333333333333336,-333.0537078666667,,
,1024,,,15,1.1920928955078125e-07,0.0003,1.0,0.004493025131523609,1474.4461059570312,0.24951083958148956,,,-184.052389,400.0
6364,1024,0,16,,,,,,,,56.6875,-329.1029126875,,
6569,1088,0,17,16,0.0,0.0003,1.0,0.004042702727019787,1571.5991821289062,0.2505301833152771,56.6875,-329.1029126875,,
6805,1152,0,18,17,5.960464477539063e-08,0.0003,1.0,0.004680085927248001,1575.824462890625,0.24730728566646576,57.5,-327.4167538888889,,
7031,1216,0,19,18,0.0,0.0003,1.0,0.004536883439868689,1537.049267578125,0.2843721807003021,55.68421052631579,-317.5066005789473,,
7240,1280,0,20,19,1.1920928955078125e-07,0.0003,1.0,0.004531030543148518,1846.39130859375,0.2648523151874542,56.65,-323.4250169999999,,
7455,1344,0,21,20,0.0,0.0003,1.0,0.004574044607579708,1682.821337890625,0.25659114122390747,56.65,-323.4250169999999,,
7676,1408,0,22,21,0.0,0.0003,1.0,0.004755216650664806,1956.4192016601562,0.266839861869812,58.72727272727273,-334.2218723636363,,
7881,1472,0,23,22,-1.1920928955078125e-07,0.0003,1.0,0.004201657138764858,1031.5614379882813,0.24167221784591675,57.34782608695652,-324.0329133478261,,
,1536,,,23,-1.1920928955078125e-07,0.0003,1.0,0.004971111658960581,1101.3125244140624,0.22140049934387207,,,-200.815114,400.0
9484,1536,0,24,,,,,,,,56.44,-317.10969016,,
9735,1600,0,25,24,0.0,0.0003,1.0,0.00492580933496356,1048.7186767578125,0.2875508666038513,57.30769230769231,-322.30678123076916,,
9955,1664,0,26,25,0.0,0.0003,1.0,0.005267567001283169,2463.223779296875,0.2731662094593048,57.30769230769231,-322.30678123076916,,
10161,1728,0,27,26,1.1920928955078125e-07,0.0003,1.0,0.004212628118693829,1304.1754272460937,0.2746771574020386,57.206896551724135,-319.9833461034482,,
10381,1792,0,28,27,-1.1920928955078125e-07,0.0003,1.0,0.0039688590914011,784.073388671875,0.23246842622756958,57.206896551724135,-319.9833461034482,,
10614,1856,0,29,28,0.0,0.0003,1.0,0.0048027122393250465,1652.0398803710937,0.24798619747161865,56.903225806451616,-317.63548535483864,,
10839,1920,0,30,29,-1.1920928955078125e-07,0.0003,1.0,0.004905845038592815,795.2123291015625,0.2766120433807373,55.625,-310.36207956249996,,
11058,1984,0,31,30,0.0,0.0003,1.0,0.0044178469106554985,1449.8321166992187,0.2749514579772949,55.625,-310.36207956249996,,
,2048,,,31,0.0,0.0003,1.0,0.0048246923834085464,1471.0593139648438,0.2618655562400818,,,-184.187647,400.0
12683,2048,0,32,,,,,,,,57.0,-316.43885064705876,,
12879,2112,0,33,32,-1.1920928955078125e-07,0.0003,1.0,0.004554449580609798,985.341796875,0.2543705403804779,57.42857142857143,-317.5486824857142,,
13088,2176,0,34,33,0.0,0.0003,1.0,0.0047899573110044,739.9189331054688,0.2687196731567383,56.75675675675676,-311.45044783783777,,
13311,2240,0,35,34,-1.1920928955078125e-07,0.0003,1.0,0.004482920281589031,1009.6809814453125,0.2826143503189087,56.75675675675676,-311.45044783783777,,
13539,2304,0,36,35,-1.1920928955078125e-07,0.0003,1.0,0.004853931721299887,1596.6615234375,0.29912108182907104,55.725,-304.2900087,,
13752,2368,0,37,36,0.0,0.0003,1.0,0.004764296114444733,1170.0730224609374,0.26838219165802,55.725,-304.2900087,,
13941,2432,0,38,37,0.0,0.0003,1.0,0.005397471599280834,1289.1916015625,0.30200108885765076,55.725,-304.2900087,,
14124,2496,0,39,38,0.0,0.0003,1.0,0.004727710969746113,960.9963195800781,0.26934024691581726,56.21951219512195,-306.2545469512195,,
,2560,,,39,-1.1920928955078125e-07,0.0003,1.0,0.0044014486484229565,894.8740966796875,0.26144924759864807,,,-184.260395,400.0
15726,2560,0,40,,,,,,,,56.57142857142857,-305.6791984047619,,
15952,2624,0,41,40,-1.1920928955078125e-07,0.0003,1.0,0.004657569341361523,1534.3183349609376,0.2719746232032776,57.28888888888889,-307.0302122444445,,
16170,2688,0,42,41,0.0,0.0003,1.0,0.005072329193353653,980.7483947753906,0.2731037735939026,57.28888888888889,-307.0302122444445,,
16367,2752,0,43,42,0.0,0.0003,1.0,0.0049911197274923325,1941.792138671875,0.26432156562805176,57.28888888888889,-307.0302122444445,,
16554,2816,0,44,43,0.0,0.0003,1.0,0.00498542794957757,948.9463256835937,0.25191670656204224,57.28888888888889,-307.0302122444445,,
16741,2880,0,45,44,0.0,0.0003,1.0,0.0044850814156234264,1125.3179077148438,0.2560458779335022,57.891304347826086,-309.65804232608696,,
16918,2944,0,46,45,5.960464477539063e-08,0.0003,1.0,0.005264506675302982,897.6144287109375,0.26005131006240845,58.895833333333336,-313.5011455208333,,
17112,3008,0,47,46,5.960464477539063e-08,0.0003,1.0,0.004755927715450525,549.5662414550782,0.2537359297275543,58.66,-310.77627906,,
,3072,,,47,0.0,0.0003,1.0,0.004815046675503254,643.1092651367187,0.263152539730072,,,-177.0603118,399.8
18696,3072,0,48,,,,,,,,58.66,-310.77627906,,
18909,3136,0,49,48,-1.1920928955078125e-07,0.0003,1.0,0.005077669396996498,1060.4888305664062,0.25325217843055725,58.411764705882355,-308.5621813333333,,
19076,3200,0,50,49,-1.1920928955078125e-07,0.0003,1.0,0.004804851487278938,1113.51982421875,0.29820144176483154,58.21153846153846,-306.4542269230769,,
19242,3264,0,51,50,5.960464477539063e-08,0.0003,1.0,0.004672632552683353,575.5840026855469,0.2582674026489258,58.924528301886795,-308.29515758490567,,
19429,3328,0,52,51,5.960464477539063e-08,0.0003,1.0,0.005062387324869633,840.3551513671875,0.2688264846801758,59.44444444444444,-308.2800428518519,,
19578,3392,0,53,52,0.0,0.0003,1.0,0.004743281751871109,741.9971557617188,0.26176655292510986,59.44444444444444,-308.2800428518519,,
19747,3456,0,54,53,1.1920928955078125e-07,0.0003,1.0,0.00521102175116539,663.9585693359375,0.2768368721008301,59.44444444444444,-308.2800428518519,,
19945,3520,0,55,54,-1.1920928955078125e-07,0.0003,1.0,0.005379645619541407,855.8167114257812,0.31263911724090576,60.535714285714285,-309.97693480357145,,
,3584,,,55,5.960464477539063e-08,0.0003,1.0,0.005245043896138668,650.2835815429687,0.24375814199447632,,,-182.50346179999997,400.0
21519,3584,0,56,,,,,,,,60.578947368421055,-309.2558268596491,,
21706,3648,0,57,56,0.0,0.0003,1.0,0.004773511551320553,1030.6276611328126,0.2866991460323334,60.389830508474574,-306.6056334576271,,
21892,3712,0,58,57,0.0,0.0003,1.0,0.004954547621309757,569.2176086425782,0.28487539291381836,60.389830508474574,-306.6056334576271,,
22080,3776,0,59,58,0.0,0.0003,1.0,0.0050271679647266865,821.5705627441406,0.27884820103645325,60.389830508474574,-306.6056334576271,,
22255,3840,0,60,59,0.0,0.0003,1.0,0.005114085506647825,1118.6965576171874,0.285512238740921,61.131147540983605,-307.3166853114754,,
22453,3904,0,61,60,0.0,0.0003,1.0,0.0057069300673902035,367.09193725585936,0.30676454305648804,60.95161290322581,-304.9379079193548,,
22632,3968,0,62,61,0.0,0.0003,1.0,0.004801462404429913,1008.236865234375,0.2805350720882416,60.578125,-302.146606203125,,
22801,4032,0,63,62,-1.1920928955078125e-07,0.0003,1.0,0.005037097726017237,508.5863311767578,0.30401211977005005,60.323076923076925,-299.5135904307692,,
,4096,,,63,1.1920928955078125e-07,0.0003,1.0,0.004730881191790104,853.6536743164063,0.3344365358352661,,,-177.7917106,400.0
24383,4096,0,64,,,,,,,,60.323076923076925,-299.5135904307692,,
