time/iterations,train/adaptive_beta,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/is_line_search_success,train/explained_variance,train/n_updates,train/policy_objective,train/learning_rate,train/kl_divergence_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,0.5,64,14.0,-78.7798,0,411,,,,,,,,,
2,0.5,128,20.5,-89.654096,0,860,1.0,0.0006957054138183594,1,0.24477379024028778,0.0003,0.035498976707458496,1293.2154296875,,
3,0.5,192,24.333333333333332,-126.60591133333332,0,1262,1.0,0.0,2,1.849414587020874,0.0003,0.1535874605178833,1444.34814453125,,
4,0.5,256,21.75,-110.42305925,0,1722,1.0,0.0,3,1.5286444425582886,0.0003,0.15079380571842194,969.3696411132812,,
5,0.5,320,32.2,-179.143625,0,2148,1.0,0.0,4,2.2974798679351807,0.0003,0.16256506741046906,1339.3044799804688,,
6,0.5,384,42.714285714285715,-221.286107,0,2522,1.0,0.0,5,2.258720874786377,0.0003,0.16599521040916443,943.1713256835938,,
7,0.5,448,39.25,-196.75962,0,2937,1.0,5.960464477539063e-08,6,2.3695261478424072,0.0003,0.16091668605804443,1025.0928344726562,,
,0.5,512,,,,,1.0,-1.1920928955078125e-07,7,5.204194068908691,0.0003,0.2091255635023117,1145.4092895507813,-246.98299260000005,195.8
8,0.5,512,39.25,-196.75962,0,6041,,,,,,,,,
9,0.5,576,39.25,-196.75962,0,6361,1.0,0.0,8,2.125321865081787,0.0003,0.21959537267684937,1076.0040283203125,,
10,0.5,640,48.1,-215.55371730000002,0,6659,1.0,-1.1920928955078125e-07,9,1.7968025207519531,0.0003,0.2686240077018738,483.81427612304685,,
11,0.5,704,52.09090909090909,-232.0294420909091,0,6962,1.0,-2.384185791015625e-07,10,19.378665924072266,0.0003,0.4420636296272278,322.9839294433594,,
12,0.5,768,51.92307692307692,-227.8325006153846,0,7318,1.0,0.0,11,2.3232357501983643,0.0003,0.23871488869190216,650.4200561523437,,
13,0.5,832,49.785714285714285,-215.96995707142855,0,7645,1.0,0.0,12,2.5218236446380615,0.0003,0.2687276601791382,638.2035888671875,,
14,0.5,896,51.875,-213.40619175,0,7995,1.0,5.960464477539063e-08,13,6.25534725189209,0.0003,0.3910481631755829,331.29859924316406,,
15,0.5,960,51.875,-213.40619175,0,8307,1.0,5.960464477539063e-08,14,2.0263710021972656,0.0003,0.2021431177854538,354.09836730957034,,
,0.5,1024,,,,,1.0,0.0,15,2.9087471961975098,0.0003,0.3654627501964569,542.1618408203125,-224.37688980000001,396.2
16,0.5,1024,51.875,-213.40619175,0,11419,,,,,,,,,
17,0.5,1088,51.875,-213.40619175,0,11705,1.0,1.1920928955078125e-07,16,2.9953229427337646,0.0003,0.47547054290771484,337.11424865722654,,
18,0.5,1152,51.875,-213.40619175,0,11918,1.0,0.0,17,1.9392261505126953,0.0003,0.2821427583694458,412.59605407714844,,
19,0.5,1216,55.705882352941174,-221.85325076470588,0,12147,1.0,0.0,18,1.5426325798034668,0.0003,0.21325691044330597,339.70554809570314,,
20,0.5,1280,55.705882352941174,-221.85325076470588,0,12368,1.0,0.0,19,1.7947720289230347,0.0003,0.2747221291065216,159.5761505126953,,
21,0.5,1344,58.27777777777778,-222.6912076111111,0,12578,1.0,-1.1920928955078125e-07,20,1.8577055931091309,0.0003,0.30794471502304077,232.3834442138672,,
22,0.5,1408,58.27777777777778,-222.6912076111111,0,12779,1.0,-1.1920928955078125e-07,21,20.411575317382812,0.0003,0.48557013273239136,138.46969451904297,,
23,0.5,1472,63.36842105263158,-229.60846005263159,0,12978,1.0,0.0,22,3.0160064697265625,0.0003,0.3344595432281494,229.19335479736327,,
,0.5,1536,,,,,1.0,0.0,23,2.1104953289031982,0.0003,0.28699690103530884,168.08270568847655,-258.8051572,386.0
24,0.5,1536,67.95,-235.57237185,0,16015,,,,,,,,,
25,0.5,1600,67.95,-235.57237185,0,16239,1.0,0.0,24,1.6982699632644653,0.0003,0.3168380558490753,207.3227981567383,,
26,0.5,1664,67.95,-235.57237185,0,16456,1.0,1.7881393432617188e-07,25,1.4216601848602295,0.0003,0.30861368775367737,323.88990783691406,,
27,0.5,1728,67.95,-235.57237185,0,16736,1.0,0.0,26,1.1658217906951904,0.0003,0.298720121383667,193.6035583496094,,
