time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/is_line_search_success,eval/mean_ep_length,eval/mean_reward
275,128,0,-136.92408,26.0,1,,,,,,,,,
567,256,0,-204.10121475,38.75,2,0.04152308776974678,0.7734005451202393,1,0.001,3127.963232421875,5.125999450683594e-06,1.0,,
838,384,0,-215.2055575714286,39.57142857142857,3,0.038884639739990234,0.8147299885749817,2,0.001,3014.1884033203123,-0.0001800060272216797,1.0,,
,512,,,,,0.041352324187755585,0.7427239418029785,3,0.001,2261.6461181640625,0.0004380345344543457,1.0,175.0,-182.1262466
1964,512,0,-227.8231146,41.4,4,,,,,,,,,
2241,640,0,-218.99279836363638,40.27272727272727,5,0.036674864590168,0.58184814453125,4,0.001,3246.02744140625,0.0001302957534790039,1.0,,
2515,768,0,-210.44505725,38.8125,6,0.04328056424856186,0.7628704309463501,5,0.001,3170.440234375,0.0001055002212524414,1.0,,
2803,896,0,-225.08918936842105,41.473684210526315,7,0.0425323024392128,0.566339910030365,6,0.001,2413.1926513671874,2.8371810913085938e-05,1.0,,
,1024,,,,,0.043602533638477325,0.6226134300231934,7,0.001,2704.17470703125,1.8477439880371094e-06,1.0,134.0,-182.02999839999998
3897,1024,0,-210.4762474347826,39.08695652173913,8,,,,,,,,,
4192,1152,0,-220.89784196296299,40.888888888888886,9,0.044581860303878784,0.6585976481437683,8,0.001,2864.57939453125,2.8312206268310547e-05,1.0,,
4462,1280,0,-206.82580670967744,38.45161290322581,10,0.04399868845939636,0.6384174823760986,9,0.001,1450.859912109375,2.4378299713134766e-05,1.0,,
4757,1408,0,-190.00112124999998,36.0,11,0.04442810267210007,0.5819520950317383,10,0.001,1496.4132446289063,1.5974044799804688e-05,1.0,,
,1536,,,,,0.04362984001636505,0.6235452890396118,11,0.001,2915.315625,-8.702278137207031e-06,1.0,84.8,-182.37082660000002
5835,1536,0,-191.04510268421052,36.526315789473685,12,,,,,,,,,
6132,1664,0,-196.88900626190474,37.69047619047619,13,0.04641957953572273,0.5902358889579773,12,0.001,2319.4943115234373,-4.5299530029296875e-06,1.0,,
6436,1792,0,-190.573831875,36.458333333333336,14,0.04681462049484253,0.6746698617935181,13,0.001,2469.6522705078123,-5.125999450683594e-06,1.0,,
6720,1920,0,-189.5094379387755,36.3469387755102,15,0.04209187254309654,0.6672899127006531,14,0.001,1118.051904296875,-1.0251998901367188e-05,1.0,,
,2048,,,,,0.04955592378973961,0.6398438215255737,15,0.001,3563.46142578125,-1.1324882507324219e-05,1.0,154.2,-340.5261284
7802,2048,0,-189.80925368518515,36.48148148148148,16,,,,,,,,,
8074,2176,0,-185.23440807017548,35.80701754385965,17,0.04784376919269562,0.6921903491020203,16,0.001,1379.0800903320312,-1.0848045349121094e-05,1.0,,
8348,2304,0,-187.52751008196725,36.31147540983606,18,0.046788401901721954,0.6820936799049377,17,0.001,1916.7596435546875,-6.079673767089844e-06,1.0,,
8610,2432,0,-181.17578032835823,35.23880597014925,19,0.05728261545300484,1.0182373523712158,18,0.001,1872.7602905273438,-6.556510925292969e-06,1.0,,
,2560,,,,,0.08454601466655731,1.3530235290527344,19,0.001,1956.246240234375,-2.1457672119140625e-06,1.0,391.2,-185.942458
9777,2560,0,-175.45867657534248,34.342465753424655,20,,,,,,,,,
10033,2688,0,-173.23570510666667,34.10666666666667,21,0.050518013536930084,0.9072785973548889,20,0.001,808.2136047363281,-1.2278556823730469e-05,1.0,,
10281,2816,0,-164.00109442352942,32.77647058823529,22,0.049461737275123596,0.6650058031082153,21,0.001,1994.7623413085937,-5.4836273193359375e-06,1.0,,
10499,2944,0,-158.45195710000002,32.022222222222226,23,0.048956915736198425,0.5264241695404053,22,0.001,329.60996704101564,-3.063678741455078e-05,1.0,,
,3072,,,,,0.04521183669567108,0.7083829641342163,23,0.001,1174.6270751953125,1.1920928955078125e-07,1.0,396.4,-168.6165686
11648,3072,0,-153.35166256701032,31.257731958762886,24,,,,,,,,,
11874,3200,0,-151.62058911999998,31.18,25,0.04832373932003975,0.5542170405387878,24,0.001,575.7381225585938,-1.2040138244628906e-05,1.0,,
12120,3328,0,-144.50785998,30.13,26,0.05169329047203064,0.7052446603775024,25,0.001,1051.5129272460938,-1.239776611328125e-05,1.0,,
12353,3456,0,-128.6192042,27.71,27,0.05412536859512329,0.5097960233688354,26,0.001,453.5536376953125,-1.0728836059570312e-06,1.0,,
,3584,,,,,0.05688689649105072,0.5778635740280151,27,0.001,495.1335479736328,-5.7220458984375e-06,1.0,397.2,-106.54423320000001
13504,3584,0,-122.17233838000001,27.35,28,,,,,,,,,
13753,3712,0,-114.98371206,26.28,29,0.04531694948673248,0.48342910408973694,28,0.001,371.96177978515624,-1.4781951904296875e-05,1.0,,
13998,3840,0,-107.68290089999999,25.48,30,0.05210420489311218,0.665841817855835,29,0.001,1031.0783081054688,-5.0067901611328125e-06,1.0,,
14228,3968,0,-90.78023630000001,22.6,31,0.042044926434755325,0.5038706064224243,30,0.001,335.2613006591797,-5.245208740234375e-06,1.0,,
,4096,,,,,0.04163973778486252,0.41305702924728394,31,0.001,245.1947814941406,-1.6808509826660156e-05,1.0,177.2,-60.097197400000006
15272,4096,0,-82.1421088,21.41,32,,,,,,,,,
15469,4224,0,-77.51594149,20.46,33,0.04623110592365265,0.5590108036994934,32,0.001,439.03208923339844,-7.033348083496094e-06,1.0,,
15694,4352,0,-64.41980688,18.95,34,0.04865832254290581,0.5939561724662781,33,0.001,832.8888061523437,-5.841255187988281e-06,1.0,,
15904,4480,0,-56.890686800000005,17.59,35,0.044560063630342484,0.44041207432746887,34,0.001,196.06361083984376,-1.9669532775878906e-05,1.0,,
,4608,,,,,0.04403594881296158,0.5178124904632568,35,0.001,242.1224166870117,-1.430511474609375e-05,1.0,400.0,-150.97845560000002
17006,4608,0,-49.034879270000005,15.64,36,,,,,,,,,
17217,4736,0,-41.94571504000001,14.34,37,0.04064787179231644,0.4601196050643921,36,0.001,238.7043029785156,-2.0265579223632812e-05,1.0,,
17453,4864,0,-38.24514912000001,13.71,38,0.051175281405448914,0.5574385523796082,37,0.001,167.01801452636718,-7.033348083496094e-06,1.0,,
17670,4992,0,-31.32184346,11.88,39,0.05408022925257683,0.5393689274787903,38,0.001,148.691796875,-1.52587890625e-05,1.0,,
,5120,,,,,0.04468502849340439,0.49744290113449097,39,0.001,186.62147369384766,-2.396106719970703e-05,1.0,400.0,-97.9066542
18809,5120,0,-30.404716529999995,11.7,40,,,,,,,,,
18994,5248,0,-30.374979229999994,12.08,41,0.06242234259843826,0.7030928134918213,40,0.001,284.8467651367188,-2.6226043701171875e-06,1.0,,
19202,5376,0,-29.63075742,12.21,42,0.04994749277830124,0.5095831155776978,41,0.001,176.580615234375,-1.7642974853515625e-05,1.0,,
19426,5504,0,-28.533235039999994,11.53,43,0.04927416890859604,0.6503878235816956,42,0.001,271.6205749511719,-7.510185241699219e-06,1.0,,
,5632,,,,,0.053314074873924255,0.45760685205459595,43,0.001,372.6860107421875,3.874301910400391e-06,1.0,397.6,-158.46625899999998
20539,5632,0,-27.13108797,11.16,44,,,,,,,,,
20771,5760,0,-28.092206910000005,11.78,45,0.04736574739217758,0.38329124450683594,44,0.001,266.9203369140625,7.748603820800781e-06,1.0,,
20996,5888,0,-27.92253255,11.5,46,0.04206518083810806,0.4707791209220886,45,0.001,226.86917877197266,-1.4543533325195312e-05,1.0,,
21215,6016,0,-27.48318081,10.99,47,0.04816625267267227,0.4290379285812378,46,0.001,221.3654815673828,-1.3589859008789062e-05,1.0,,
,6144,,,,,0.039772726595401764,0.42969822883605957,47,0.001,209.95095825195312,-1.621246337890625e-05,1.0,5.4,-9.9392038
21457,6144,0,-26.811899550000003,10.59,48,,,,,,,,,
21718,6272,0,-22.980067939999998,8.66,49,0.042204439640045166,0.4819493591785431,48,0.001,159.12442626953126,-1.1920928955078125e-05,1.0,,
21955,6400,0,-22.282500930000012,8.41,50,0.041816748678684235,0.49985724687576294,49,0.001,177.5247314453125,-4.172325134277344e-06,1.0,,
22196,6528,0,-19.76884993,7.56,51,0.044349364936351776,0.46958258748054504,50,0.001,155.23623657226562,-1.1801719665527344e-05,1.0,,
,6656,,,,,0.0411389023065567,0.38762909173965454,51,0.001,191.8532699584961,-1.3113021850585938e-05,1.0,357.4,-153.02321139999998
23302,6656,0,-18.6370575,7.44,52,,,,,,,,,
23516,6784,0,-17.79505897,7.32,53,0.05004727840423584,0.5909512639045715,52,0.001,157.14007873535155,-1.52587890625e-05,1.0,,
23756,6912,0,-16.16267333,7.13,54,0.050136420875787735,0.41884613037109375,53,0.001,171.07068939208983,-1.3113021850585938e-06,1.0,,
23970,7040,0,-15.830073820000003,7.28,55,0.03984203562140465,0.41747844219207764,54,0.001,179.0872375488281,-3.0994415283203125e-05,1.0,,
,7168,,,,,0.04651037976145744,0.4077661633491516,55,0.001,126.44259948730469,-3.0994415283203125e-06,1.0,3.4,-7.4757654
24248,7168,0,-15.32326054,7.26,56,,,,,,,,,
24505,7296,0,-14.447509939999998,6.51,57,0.03386858105659485,0.3540767729282379,56,0.001,173.10308685302735,1.6629695892333984e-05,1.0,,
24731,7424,0,-14.61400842,6.56,58,0.04611986130475998,0.3941341042518616,57,0.001,156.82705841064453,-9.179115295410156e-06,1.0,,
24960,7552,0,-14.634952160000001,6.24,59,0.04055962711572647,0.3706692159175873,58,0.001,146.25027923583986,1.0788440704345703e-05,1.0,,
,7680,,,,,0.052301742136478424,0.44747382402420044,59,0.001,167.0409408569336,6.020069122314453e-06,1.0,3.0,-7.3085714
25225,7680,0,-13.500187579999997,5.73,60,,,,,,,,,
25450,7808,0,-13.036610229999999,5.64,61,0.04140487313270569,0.30989938974380493,60,0.001,172.7823913574219,2.8014183044433594e-05,1.0,,
25665,7936,0,-12.054461570000003,5.18,62,0.04020828753709793,0.36457204818725586,61,0.001,152.27086029052734,1.3470649719238281e-05,1.0,,
25891,8064,0,-11.50255104,5.18,63,0.041752204298973083,0.3458799719810486,62,0.001,156.2530502319336,1.2099742889404297e-05,1.0,,
,8192,,,,,0.04645249992609024,0.3509371876716614,63,0.001,148.4952621459961,1.9729137420654297e-05,1.0,3.0,-7.783862599999999
26126,8192,0,-11.11595679,5.23,64,,,,,,,,,
26378,8320,0,-10.552741789999997,5.04,65,0.043193474411964417,0.41115105152130127,64,0.001,142.94373168945313,3.695487976074219e-05,1.0,,
