time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/is_line_search_success,train/learning_rate,train/value_loss,train/n_updates,train/explained_variance,eval/mean_ep_length,eval/mean_reward
260,-136.936937,0,1,26.0,128,,,,,,,,,
527,-136.936937,0,2,26.0,256,0.26702842116355896,2.757673501968384,1.0,0.001,3354.37626953125,1,0.005806088447570801,,
786,-348.1383702,0,3,61.8,384,0.16705961525440216,0.7899199724197388,1.0,0.001,4598.57001953125,2,-4.458427429199219e-05,,
,,,,,512,0.13809877634048462,0.953974187374115,1.0,0.001,1811.3426635742187,3,9.5367431640625e-06,396.4,-182.9834482
1870,-290.427844,0,4,53.285714285714285,512,,,,,,,,,
2130,-300.2865693,0,5,55.0,640,0.1354062706232071,1.3805166482925415,1.0,0.001,2410.631982421875,4,-1.0728836059570312e-06,,
2386,-282.2527257692308,0,6,52.23076923076923,768,0.16647900640964508,1.436301827430725,1.0,0.001,2558.8511474609377,5,1.2516975402832031e-06,,
2645,-249.89041811764704,0,7,47.411764705882355,896,0.21378380060195923,2.0600247383117676,1.0,0.001,2422.686181640625,6,-3.5762786865234375e-07,,
,,,,,1024,0.2472427934408188,2.090771436691284,1.0,0.001,1617.26181640625,7,2.205371856689453e-06,82.8,-440.75840559999995
3653,-247.90968010526313,0,8,47.21052631578947,1024,,,,,,,,,
3897,-246.9924331304348,0,9,47.47826086956522,1152,0.21565163135528564,2.1249544620513916,1.0,0.001,2676.0878173828123,8,5.364418029785156e-07,,
4126,-227.29045911111112,0,10,44.25925925925926,1280,0.1732102334499359,0.9801706075668335,1.0,0.001,1597.4695434570312,9,1.0728836059570312e-06,,
4359,-219.90156473333334,0,11,43.8,1408,0.230145663022995,1.754150629043579,1.0,0.001,1151.1174682617188,10,7.152557373046875e-07,,
,,,,,1536,0.31948322057724,3.518481731414795,1.0,0.001,1280.0021850585938,11,3.5762786865234375e-07,134.2,-244.68282059999996
5365,-211.1172922424243,0,12,42.878787878787875,1536,,,,,,,,,
5576,-212.77130789189192,0,13,43.21621621621622,1664,0.1821736991405487,0.8967890739440918,1.0,0.001,2505.4271240234375,12,5.364418029785156e-07,,
5796,-208.6432512894737,0,14,42.421052631578945,1792,0.2648615837097168,2.305367946624756,1.0,0.001,1267.2986572265625,13,2.384185791015625e-07,,
6013,-206.16943111627907,0,15,43.2093023255814,1920,0.29354286193847656,1.3998491764068604,1.0,0.001,1537.9862548828125,14,1.7881393432617188e-07,,
,,,,,2048,0.2270447164773941,1.9332197904586792,1.0,0.001,1284.8109497070313,15,-4.76837158203125e-07,200.0,-181.7862384
6989,-197.4737699574468,0,16,42.340425531914896,2048,,,,,,,,,
7214,-185.22105396153847,0,17,40.21153846153846,2176,0.27269384264945984,1.1593631505966187,1.0,0.001,493.8064483642578,16,-8.344650268554688e-07,,
7415,-180.11912767857143,0,18,40.089285714285715,2304,0.23091354966163635,1.0866680145263672,1.0,0.001,711.3050720214844,17,-1.0728836059570312e-06,,
7616,-164.12487832812502,0,19,37.46875,2432,0.27155786752700806,6.691169738769531,1.0,0.001,531.7264404296875,18,-8.344650268554688e-07,,
,,,,,2560,0.14928534626960754,0.7952131628990173,1.0,0.001,362.4577117919922,19,-8.344650268554688e-07,203.2,-181.6604498
8592,-163.85849003076925,0,20,37.738461538461536,2560,,,,,,,,,
8776,-161.3476661911765,0,21,37.779411764705884,2688,0.23254171013832092,1.3726364374160767,1.0,0.001,799.2316528320313,20,-3.5762786865234375e-07,,
8943,-158.2185049861111,0,22,37.958333333333336,2816,0.2548946738243103,1.1426804065704346,1.0,0.001,931.7912780761719,21,-2.384185791015625e-07,,
9122,-155.4741676533333,0,23,38.053333333333335,2944,0.3079512417316437,2.5498099327087402,1.0,0.001,387.7372161865234,22,-1.0728836059570312e-06,,
,,,,,3072,0.4116649031639099,1.9637014865875244,1.0,0.001,532.8078857421875,23,-7.152557373046875e-07,272.4,-180.9110996
10074,-152.29507651282051,0,24,37.705128205128204,3072,,,,,,,,,
10232,-150.82615585185184,0,25,38.18518518518518,3200,0.2118547260761261,0.6214235424995422,1.0,0.001,462.17518005371096,24,-9.5367431640625e-07,,
10405,-146.71358830232555,0,26,38.127906976744185,3328,0.29324811697006226,1.2407264709472656,1.0,0.001,384.6955322265625,25,-8.344650268554688e-07,,
10609,-138.81028992473117,0,27,36.59139784946237,3456,0.3636051416397095,3.1011815071105957,1.0,0.001,331.0644134521484,26,-1.1920928955078125e-06,,
,,,,,3584,0.2195182889699936,0.4153842329978943,1.0,0.001,261.328271484375,27,-9.5367431640625e-07,200.6,-176.81551819999999
11591,-111.10243667,0,28,31.75,3584,,,,,,,,,
11800,-82.83591918,0,29,26.69,3712,0.17785391211509705,0.5224941372871399,1.0,0.001,164.70277099609376,28,-1.9073486328125e-06,,
11991,-57.998358010000004,0,30,21.78,3840,0.21236273646354675,0.5524811744689941,1.0,0.001,201.68366241455078,29,-1.5497207641601562e-06,,
12189,-39.49701390999999,0,31,16.49,3968,0.22373324632644653,0.41402238607406616,1.0,0.001,144.74019775390624,30,-2.384185791015625e-06,,
,,,,,4096,0.3183514475822449,0.6434709429740906,1.0,0.001,131.03091125488282,31,-2.6226043701171875e-06,81.2,-13.812734600000002
12726,-25.944965039999992,0,32,11.23,4096,,,,,,,,,
12950,-16.646718,0,33,6.76,4224,0.2700169086456299,0.45940348505973816,1.0,0.001,175.3199432373047,32,-1.430511474609375e-06,,
13186,-14.218012450000002,0,34,6.07,4352,0.3189399242401123,0.528599202632904,1.0,0.001,160.6634735107422,33,-2.1457672119140625e-06,,
13414,-14.411996789999996,0,35,5.77,4480,0.3240417540073395,0.7718645334243774,1.0,0.001,166.69625091552734,34,-1.5497207641601562e-06,,
,,,,,4608,0.436588317155838,1.704822301864624,1.0,0.001,126.43477783203124,35,-1.3113021850585938e-06,5.4,-7.314204599999999
13675,-13.706275860000003,0,36,5.61,4608,,,,,,,,,
13851,-12.81152049,0,37,5.6,4736,0.4194183945655823,1.4195122718811035,1.0,0.001,160.49016723632812,36,-2.2649765014648438e-06,,
