time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
216,64,0,1,,,,,,,,,,,
424,128,0,2,1,0.0007765293121337891,0.0003,1.0,0.004494054242968559,1761.1483642578125,0.27302318811416626,,,,
662,192,0,3,2,-0.00011682510375976562,0.0003,1.0,0.004086685366928577,1789.5873413085938,0.23687240481376648,39.0,-206.137072,,
877,256,0,4,3,0.00681614875793457,0.0003,1.0,0.004057231359183788,1936.1831665039062,0.24462386965751648,39.0,-206.137072,,
1128,320,0,5,4,0.006486833095550537,0.0003,1.0,0.004398259334266186,1652.2390625,0.24761904776096344,64.33333333333333,-374.01745366666665,,
1356,384,0,6,5,-0.016374826431274414,0.0003,1.0,0.003952941857278347,1736.789794921875,0.24755063652992249,68.75,-398.5153075,,
1570,448,0,7,6,0.007378816604614258,0.0003,1.0,0.004664997570216656,1545.036376953125,0.27889901399612427,68.75,-398.5153075,,
,512,,,7,0.005298733711242676,0.0003,1.0,0.004636158235371113,1981.4007080078125,0.25921618938446045,,,-195.6128562,240.0
3171,512,0,8,,,,,,,,70.8,-403.9113342,,
3401,576,0,9,8,0.01501154899597168,0.0003,1.0,0.004328037146478891,1724.554345703125,0.24996958673000336,67.57142857142857,-389.9771991428571,,
3648,640,0,10,9,-5.7220458984375e-05,0.0003,1.0,0.005377620458602905,1403.9107788085937,0.2118382751941681,69.0,-399.776234125,,
3885,704,0,11,10,0.018396317958831787,0.0003,1.0,0.00515787024050951,1943.271923828125,0.2502760887145996,64.66666666666667,-372.34545366666663,,
4098,768,0,12,11,-0.028219938278198242,0.0003,1.0,0.004388994537293911,1850.375927734375,0.24602103233337402,64.66666666666667,-372.34545366666663,,
4314,832,0,13,12,0.04373598098754883,0.0003,1.0,0.0043899016454815865,1489.3095703125,0.24477320909500122,65.81818181818181,-383.2444690909091,,
4544,896,0,14,13,-0.05684161186218262,0.0003,1.0,0.004223971627652645,1341.3085571289062,0.24221253395080566,65.75,-381.48258416666664,,
4779,960,0,15,14,0.011795103549957275,0.0003,1.0,0.0044892337173223495,1521.4869750976563,0.24365440011024475,63.15384615384615,-366.7430293846154,,
,1024,,,15,-0.00010347366333007812,0.0003,1.0,0.005294159986078739,1308.4961669921875,0.19917955994606018,,,-182.69640280000002,200.0
6357,1024,0,16,,,,,,,,63.92857142857143,-371.44703857142855,,
6575,1088,0,17,16,2.8371810913085938e-05,0.0003,1.0,0.005083004478365183,1401.0765869140625,0.2206110954284668,64.86666666666666,-376.2035206666667,,
6782,1152,0,18,17,-5.6743621826171875e-05,0.0003,1.0,0.005091295577585697,1441.480908203125,0.23446252942085266,64.1875,-369.08040631250003,,
6989,1216,0,19,18,-0.0002790689468383789,0.0003,1.0,0.005984625779092312,1104.637109375,0.23944774270057678,64.41176470588235,-367.582104882353,,
7175,1280,0,20,19,-8.821487426757812e-06,0.0003,1.0,0.0053912922739982605,928.7601257324219,0.2264360785484314,64.41176470588235,-367.582104882353,,
7383,1344,0,21,20,4.100799560546875e-05,0.0003,1.0,0.00518611166626215,1191.7664184570312,0.23155319690704346,65.55555555555556,-370.8557007777778,,
7597,1408,0,22,21,-0.00028264522552490234,0.0003,1.0,0.005537771619856358,913.1657775878906,0.22453844547271729,62.285714285714285,-345.27760685714287,,
7801,1472,0,23,22,-0.0002930164337158203,0.0003,1.0,0.005241873674094677,861.9484741210938,0.19722233712673187,60.54545454545455,-334.8561870454546,,
,1536,,,23,-0.00022673606872558594,0.0003,1.0,0.0052798958495259285,1102.0015380859375,0.23016631603240967,,,-183.78199260000002,400.0
9398,1536,0,24,,,,,,,,62.17391304347826,-338.08667734782614,,
9612,1600,0,25,24,-8.893013000488281e-05,0.0003,1.0,0.005329829640686512,1507.8765502929687,0.22197780013084412,62.17391304347826,-338.08667734782614,,
9815,1664,0,26,25,2.8252601623535156e-05,0.0003,1.0,0.00533327367156744,1369.8533569335937,0.20986473560333252,62.17391304347826,-338.08667734782614,,
10015,1728,0,27,26,6.157159805297852e-05,0.0003,1.0,0.0055449968203902245,1636.5091186523437,0.22478479146957397,63.56,-342.86867344,,
10204,1792,0,28,27,-0.05472874641418457,0.0003,1.0,0.0045262835919857025,960.1916198730469,0.2388480007648468,61.73076923076923,-333.04580653846153,,
10395,1856,0,29,28,0.07500094175338745,0.0003,1.0,0.0035891334991902113,779.2730895996094,0.2479948103427887,63.82142857142857,-337.4499238571429,,
10630,1920,0,30,29,-0.00010061264038085938,0.0003,1.0,0.005269238725304604,505.339599609375,0.2031494528055191,62.758620689655174,-329.5392052758621,,
10821,1984,0,31,30,-0.00018012523651123047,0.0003,1.0,0.005009475164115429,1726.02451171875,0.2264155149459839,62.758620689655174,-329.5392052758621,,
,2048,,,31,-2.9921531677246094e-05,0.0003,1.0,0.005679333582520485,995.4014343261719,0.22883620858192444,,,-200.860113,266.8
12360,2048,0,32,,,,,,,,62.758620689655174,-329.5392052758621,,
12553,2112,0,33,32,1.1801719665527344e-05,0.0003,1.0,0.005524761043488979,994.9132934570313,0.2133406549692154,63.225806451612904,-329.72305861290323,,
12750,2176,0,34,33,0.003210723400115967,0.0003,1.0,0.004528655670583248,934.9612670898438,0.23909837007522583,63.225806451612904,-329.72305861290323,,
12950,2240,0,35,34,-0.030700325965881348,0.0003,1.0,0.004012875258922577,1243.8606323242188,0.23392772674560547,64.63636363636364,-334.8527090909091,,
13158,2304,0,36,35,-0.04741084575653076,0.0003,1.0,0.0038632710929960012,1323.3533325195312,0.2509344220161438,64.63636363636364,-334.8527090909091,,
13363,2368,0,37,36,-0.0002040863037109375,0.0003,1.0,0.004006798379123211,995.4679260253906,0.2452564835548401,64.31428571428572,-334.3538963428571,,
13580,2432,0,38,37,0.0045983195304870605,0.0003,1.0,0.003544833743944764,1105.2568359375,0.24641185998916626,64.31428571428572,-334.3538963428571,,
13793,2496,0,39,38,0.0007101297378540039,0.0003,1.0,0.004619656130671501,1269.0401611328125,0.2575632333755493,64.91666666666667,-333.83718274999995,,
