time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/n_updates,train/explained_variance,train/learning_rate,train/is_line_search_success,train/kl_divergence_loss,train/value_loss,train/policy_objective,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
213,64,0,1,,,,,,,,,,,
415,128,0,2,1,0.00038254261016845703,0.0003,1.0,0.005573132075369358,1796.4641845703125,0.2337152659893036,,,,
663,192,0,3,2,0.0004930496215820312,0.0003,1.0,0.004985191859304905,1861.520751953125,0.22227054834365845,,,,
886,256,0,4,3,0.0002988576889038086,0.0003,1.0,0.0050800396129488945,2184.6251708984373,0.22414271533489227,57.0,-278.36592,,
1136,320,0,5,4,0.00044167041778564453,0.0003,1.0,0.005042000208050013,1468.9060546875,0.19528940320014954,72.5,-421.454687,,
1357,384,0,6,5,-1.8596649169921875e-05,0.0003,1.0,0.005176627077162266,1619.918701171875,0.21048542857170105,72.5,-421.454687,,
1571,448,0,7,6,3.212690353393555e-05,0.0003,1.0,0.00567772937938571,1468.4002563476563,0.2589958906173706,72.5,-421.454687,,
,512,,,7,-1.2755393981933594e-05,0.0003,1.0,0.005153536796569824,2044.2538818359376,0.2110919952392578,,,-586.3448756,200.0
3157,512,0,8,,,,,,,,72.5,-421.454687,,
3385,576,0,9,8,-2.4318695068359375e-05,0.0003,1.0,0.004721642937511206,2161.9404541015624,0.20579135417938232,72.0,-419.46059666666673,,
3624,640,0,10,9,-8.58306884765625e-06,0.0003,1.0,0.004973078612238169,1328.5447631835937,0.21744731068611145,73.75,-427.32348325,,
3858,704,0,11,10,4.076957702636719e-05,0.0003,1.0,0.005038802046328783,1609.4454833984375,0.21268615126609802,69.88888888888889,-402.57316166666664,,
4051,768,0,12,11,-4.0531158447265625e-05,0.0003,1.0,0.005385075230151415,1682.2897827148438,0.243038147687912,66.4,-380.7439455,,
4250,832,0,13,12,1.7285346984863281e-06,0.0003,1.0,0.005294810049235821,1298.7992797851562,0.21700365841388702,64.54545454545455,-369.6317792727272,,
4467,896,0,14,13,-0.000194549560546875,0.0003,1.0,0.005671193357557058,1309.0720092773438,0.22903840243816376,64.54545454545455,-369.6317792727272,,
4690,960,0,15,14,-3.5762786865234375e-07,0.0003,1.0,0.00561747420579195,1706.9912841796875,0.20002269744873047,64.54545454545455,-369.6317792727272,,
,1024,,,15,-5.14984130859375e-05,0.0003,1.0,0.005610572639852762,1155.7150390625,0.20393291115760803,,,-183.8001784,200.0
6215,1024,0,16,,,,,,,,66.4,-374.92768226666664,,
6430,1088,0,17,16,-8.52346420288086e-05,0.0003,1.0,0.005257843993604183,566.0416259765625,0.20991778373718262,63.25,-355.062323,,
6630,1152,0,18,17,1.138448715209961e-05,0.0003,1.0,0.005453463643789291,1463.181103515625,0.2111072689294815,63.25,-355.062323,,
6833,1216,0,19,18,-9.059906005859375e-05,0.0003,1.0,0.0052956026047468185,1331.1564208984375,0.21753790974617004,63.25,-355.062323,,
7016,1280,0,20,19,1.6629695892333984e-05,0.0003,1.0,0.005444335751235485,1212.132763671875,0.2191702276468277,63.25,-355.062323,,
7212,1344,0,21,20,7.867813110351562e-06,0.0003,1.0,0.004988618195056915,1269.1703369140625,0.23329246044158936,66.05263157894737,-365.37165884210526,,
7428,1408,0,22,21,-3.039836883544922e-05,0.0003,1.0,0.00524656567722559,716.4780883789062,0.21181675791740417,65.14285714285714,-354.5823739523809,,
7632,1472,0,23,22,-5.316734313964844e-05,0.0003,1.0,0.004883738700300455,906.835400390625,0.2008245587348938,63.77272727272727,-344.169539,,
,1536,,,23,-4.029273986816406e-05,0.0003,1.0,0.0053525520488619804,1160.1902954101563,0.21787193417549133,,,-154.70937120000002,400.0
9241,1536,0,24,,,,,,,,63.77272727272727,-344.169539,,
9449,1600,0,25,24,-4.875659942626953e-05,0.0003,1.0,0.005490688141435385,1596.4867553710938,0.2073337733745575,63.77272727272727,-344.169539,,
9659,1664,0,26,25,2.6345252990722656e-05,0.0003,1.0,0.005353043787181377,1395.2575439453126,0.19877901673316956,61.791666666666664,-334.491826875,,
9869,1728,0,27,26,-1.1563301086425781e-05,0.0003,1.0,0.005274443421512842,1290.202392578125,0.20400410890579224,62.56,-338.99409760000003,,
10053,1792,0,28,27,-5.137920379638672e-05,0.0003,1.0,0.005664021708071232,1165.4364135742187,0.22333604097366333,63.69230769230769,-341.45828969230774,,
10251,1856,0,29,28,-1.1920928955078125e-06,0.0003,1.0,0.004159621428698301,731.8329528808594,0.2055758535861969,63.857142857142854,-338.24846303571434,,
10490,1920,0,30,29,-3.5762786865234375e-06,0.0003,1.0,0.0048938412219285965,789.019091796875,0.19473889470100403,62.689655172413794,-331.12155806896556,,
10679,1984,0,31,30,2.0265579223632812e-06,0.0003,1.0,0.005421285517513752,1772.8681640625,0.21976782381534576,61.63333333333333,-325.14437736666673,,
,2048,,,31,-3.4689903259277344e-05,0.0003,1.0,0.005312219262123108,1113.9398803710938,0.2452031373977661,,,-183.20619979999998,400.0
12238,2048,0,32,,,,,,,,60.41935483870968,-317.256736483871,,
12428,2112,0,33,32,2.568960189819336e-05,0.0003,1.0,0.004925237037241459,1037.9701171875,0.2137155830860138,61.1875,-320.74390759375,,
12615,2176,0,34,33,3.618001937866211e-05,0.0003,1.0,0.00563387293368578,1066.8836059570312,0.20575979351997375,61.39393939393939,-321.7151725757576,,
12792,2240,0,35,34,2.676248550415039e-05,0.0003,1.0,0.005390447564423084,1158.740869140625,0.21278056502342224,61.57142857142857,-321.78275108571427,,
12987,2304,0,36,35,1.2040138244628906e-05,0.0003,1.0,0.005850634537637234,618.3976806640625,0.19958871603012085,61.44444444444444,-317.7447252222222,,
13165,2368,0,37,36,2.09808349609375e-05,0.0003,1.0,0.005052386783063412,717.8968566894531,0.22844527661800385,60.83783783783784,-312.99233924324324,,
13369,2432,0,38,37,3.0934810638427734e-05,0.0003,1.0,0.004693879745900631,972.2671325683593,0.21845442056655884,60.83783783783784,-312.99233924324324,,
13562,2496,0,39,38,3.987550735473633e-05,0.0003,1.0,0.005058723967522383,1075.4644409179687,0.21548955142498016,60.83783783783784,-312.99233924324324,,
,2560,,,39,5.5730342864990234e-05,0.0003,1.0,0.005050139967352152,697.6258605957031,0.20937782526016235,,,-183.556958,400.0
15132,2560,0,40,,,,,,,,61.421052631578945,-313.9831199736842,,
15289,2624,0,41,40,2.4020671844482422e-05,0.0003,1.0,0.005029567517340183,834.3799072265625,0.23017628490924835,62.4,-316.0778551,,
15496,2688,0,42,41,2.0265579223632812e-05,0.0003,1.0,0.005858196411281824,407.4542938232422,0.2488531470298767,62.4,-316.0778551,,
15673,2752,0,43,42,-3.0875205993652344e-05,0.0003,1.0,0.005878965836018324,1437.5618041992188,0.246405228972435,63.292682926829265,-317.07704760975616,,
15842,2816,0,44,43,4.4345855712890625e-05,0.0003,1.0,0.005429714918136597,353.5406219482422,0.21350549161434174,63.333333333333336,-314.9167748571429,,
16012,2880,0,45,44,9.179115295410156e-06,0.0003,1.0,0.00572205800563097,692.2344177246093,0.2223902940750122,63.333333333333336,-314.9167748571429,,
